policy_id,policy_version,search_district,industry_scope,application_start,application_end,availability_as_of,effective_from,effective_to,rule_engine,event_status
POL_SEOUL_FUND_2026,2026-05-04-change,*,융자제한업종 제외,2026-01-02,,접수 가능 여부 확인 필요,2026-05-04,2026-12-31,re6,reviewed_event
POL_SEOUL_CRISIS_TRACK2_2026H2,2026-06-30,*,점포형 소상공인,2026-07-02,,접수 가능 여부 확인 필요,2026-07-02,2026-11-30,re6,reviewed_event
POL_SEOUL_CLOSURE_2026,2026-02,*,폐업 예정 점포형 소상공인,2026-02-12,,접수 가능 여부 확인 필요,2026-02-12,2026-11-30,re6,reviewed_event
POL_SEOUL_DIGITAL_MIDLIFE_2026H2,2026-06-30,*,소상공인,2026-07-02,,접수 가능 여부 확인 필요,2026-07-02,2026-11-30,re6,reviewed_event
POL_SEOUL_ZERO_MARKET_2026_2,2026-06-17-2nd,*,다회용기·무포장·친환경포장 사업자,2026-06-17,,접수 가능 여부 확인 필요,2026-06-17,2026-12-31,re6,reviewed_event
POL_SEOUL_SAFETY_TEST_2026H2,2026-07-23,*,생활용품·어린이제품 제조·유통,2026-07-23,,접수 가능 여부 확인 필요,2026-07-23,2026-12-31,re6,blocked_event_terms
POL_SEOUL_RESTART_2026,2026-07-16,*,재기·재창업 소상공인,2026-07-08,2026-10-30,기준일상 접수 가능,2026-07-08,2026-10-30,re6,reviewed_event
POL_SEMAS_REFINANCE_2026,2026-07-29-change4,*,융자제외업종 제외,2026-01-05,,접수 가능 여부 확인 필요,2026-07-29,2026-12-31,re6,reviewed_event
POL_SEMAS_RECHALLENGE_2026,2026-07-29-change4,*,융자제외업종 제외,2026-01-12,,접수 가능 여부 확인 필요,2026-07-29,2026-12-31,re6,reviewed_event
POL_SEMAS_STABILITY_VOUCHER_2026,2026-01-28,*,융자제외업종 제외,2026-02-09,2026-12-18,기준일상 접수 가능,2026-02-09,2026-12-31,re6,reviewed_event
POL_SEMAS_EMPLOYMENT_INSURANCE_2026,2025-12-29,*,자영업자 고용보험 가입 소상공인,2026-01-01,,접수 가능 여부 확인 필요,2026-01-01,2026-12-31,re8.2,reviewed_event_requires_grade
POL_SEOUL_FAMILY_FRIENDLY_EMPLOYER_2026,2026-03-11,*,서울 소재 중소기업,2026-03-11,2026-12-31,기준일상 접수 가능,2026-03-11,2026-12-31,re8.2,reviewed_event_requires_amount_date
POL_SEOUL_IEUM_SAVINGS_2026,2026-05-22,*,2026년 청년·중장년 신규채용 중소·중견기업,2026-05-01,,접수 가능 여부 확인 필요,2026-05-22,2026-12-31,re8.2,outside_six_month_cash_horizon
POL_SEOUL_YELLOW_UMBRELLA_2026,2026-08-12,*,연매출 3억원 이하 신규가입 소상공인,2026-01-01,2026-12-31,기준일상 접수 가능,2026-01-01,2026-12-31,re8.2,restricted_savings_not_business_cash
POL_SEOUL_HOSPITAL_LIVING_EXPENSE_2026,2026-07-24,*,1인 개인사업자·노동취약계층,2026-01-01,2026-12-31,기준일상 신청 가능,2026-01-01,2026-12-31,re8.2,personal_living_cash_not_business_cash
POL_SEOUL_PRIVATE_CHILDCARE_2026,2026-05-26-3rd,*,소상공인·워라밸기업 근로자,2026-06-10,2026-06-24,접수기간 종료,2026-05-26,2026-12-31,re8.2,service_subsidy_not_business_cash
POL_JUNGGU_CUSTOM_SUPPORT_2026,2026-04-30,중구,일부 제조업·제한업종 제외,2026-05-11,2026-05-20,접수기간 종료,2026-04-30,2026-12-31,re8.2,reviewed_event_closed
