policy_id,source_path,format,size_bytes,sha256,page_or_section_count,extracted_char_count,signature_valid,extracted_path
POL_SEMAS_POLICY_LOANS_2026_CHANGE4,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_POLICY_LOANS_2026_CHANGE4/2026_소상공인_정책자금_융자사업_4차변경.pdf,pdf,637757,c2e0b3f55e0e3f0546aa9bd1e2e987b41a254307151407ea92a487cb42cad4b4,30,23722,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEMAS_POLICY_LOANS_2026_CHANGE4/2026_소상공인_정책자금_융자사업_4차변경.pdf.txt
POL_SEMAS_POLICY_LOANS_2026_CHANGE4,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_POLICY_LOANS_2026_CHANGE4/official_page.html,html,90975,661ce77f1ea28d080e32abf0c31f98365226595ccf4eb0b097d794752955fd05,1,1768,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEMAS_POLICY_LOANS_2026_CHANGE4/official_page.html.txt
POL_SEMAS_STABILITY_VOUCHER_2026,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_STABILITY_VOUCHER_2026/2026_소상공인_경영안정_바우처_공고.pdf,pdf,920107,048f108b43d20f5547574199d76d6dc8b8cb390d9f8431dbada94a7c592f35d2,16,13458,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEMAS_STABILITY_VOUCHER_2026/2026_소상공인_경영안정_바우처_공고.pdf.txt
POL_SEMAS_STABILITY_VOUCHER_2026,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_STABILITY_VOUCHER_2026/official_page.html,html,97728,bb0db8279bb974d9c86b4b0006dacf16474341a4834f98656c295874c0d76c77,1,2358,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEMAS_STABILITY_VOUCHER_2026/official_page.html.txt
POL_SEOUL_CLOSURE_2026,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_CLOSURE_2026/2026_새_길_여는_폐업지원_공고.pdf,pdf,404835,8286b463213804e95b5102939a59020afb66b7197a4bbc3e65042b02199f2754,21,14707,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEOUL_CLOSURE_2026/2026_새_길_여는_폐업지원_공고.pdf.txt
POL_SEOUL_CLOSURE_2026,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_CLOSURE_2026/official_page.html,html,78226,f5e0673f1b30766e5064cff24cb8a98a126feae1b2afbefc5693fc43ed18ed34,1,1700,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEOUL_CLOSURE_2026/official_page.html.txt
POL_SEOUL_CRISIS_TRACK2_2026H2,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_CRISIS_TRACK2_2026H2/2026_하반기_위기_소상공인_Track2_공고.pdf,pdf,1265508,0271feb93f88029e231eaae163c21acb873d565d746aec93b6aa7b112c689238,23,15818,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEOUL_CRISIS_TRACK2_2026H2/2026_하반기_위기_소상공인_Track2_공고.pdf.txt
POL_SEOUL_CRISIS_TRACK2_2026H2,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_CRISIS_TRACK2_2026H2/official_page.html,html,84641,73c37367c9995707b4ed310c6d5eba1965081873dce11a6b47d747bb1325bfb4,1,1793,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEOUL_CRISIS_TRACK2_2026H2/official_page.html.txt
POL_SEOUL_DIGITAL_MIDLIFE_2026H2,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_DIGITAL_MIDLIFE_2026H2/2026_하반기_중장년_디지털전환_공고.pdf,pdf,1153769,a5afb8a6b66471173c33873aeb3d213c862e0543db289fb55bd5a8c51989e95e,22,14602,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEOUL_DIGITAL_MIDLIFE_2026H2/2026_하반기_중장년_디지털전환_공고.pdf.txt
POL_SEOUL_DIGITAL_MIDLIFE_2026H2,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_DIGITAL_MIDLIFE_2026H2/official_page.html,html,85780,1fb07d89fb6ab1ffb174b251d64aa766d4c07eb3ca5046fe955ccaf0f5d78cbf,1,1690,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEOUL_DIGITAL_MIDLIFE_2026H2/official_page.html.txt
POL_SEOUL_RESTART_2026,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_RESTART_2026/official_page.html,html,122150,ba6c1fa026d52bb930ddfaa0cceeb89d81cd8d002f34c150678aaed363374f39,1,4236,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEOUL_RESTART_2026/official_page.html.txt
POL_SEOUL_SAFETY_TEST_2026H2,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_SAFETY_TEST_2026H2/2026_서울_소상공인_안전검사_하반기.pdf,pdf,273778,8910741d922efcefe04190b36114f875cdf7a8eb6d8dc5d6d1d828e2ca58cef0,1,19,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEOUL_SAFETY_TEST_2026H2/2026_서울_소상공인_안전검사_하반기.pdf.txt
POL_SEOUL_SAFETY_TEST_2026H2,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_SAFETY_TEST_2026H2/official_page.html,html,78001,739aa3c23ac8f084a538a4117eeb2e43c46bf376e10e172ca4fdbb48a3646612,1,1470,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEOUL_SAFETY_TEST_2026H2/official_page.html.txt
POL_SEOUL_ZERO_MARKET_2026_2,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_ZERO_MARKET_2026_2/2026_서울제로마켓_2차_공고.hwpx,hwpx,81520,a3cfa3a150a15500453dcb29b3c83885c1de51ca915f25d5cacec8dbe6c096bb,1,3481,yes,data/processed_re/policy/re_stage2/extracted_text/POL_SEOUL_ZERO_MARKET_2026_2/2026_서울제로마켓_2차_공고.hwpx.txt
