target,reason,rows,share
target_a_next_quarter_yoy,valid,268541,0.9369463353023066
target_a_next_quarter_yoy,invalid_denominator,10342,0.03608349935278581
target_a_next_quarter_yoy,missing_future,5241,0.01828598144536361
target_a_next_quarter_yoy,missing_future|invalid_denominator,2489,0.008684183899543984
target_b_next_two_quarters_yoy,valid,262869,0.9171565839651377
target_b_next_two_quarters_yoy,invalid_denominator,10424,0.036369599425008635
target_b_next_two_quarters_yoy,missing_future,8844,0.030856939496812775
target_b_next_two_quarters_yoy,missing_future|invalid_denominator,4476,0.01561687711304093
target_aux_min_next_two_quarters_yoy,valid,262869,0.9171565839651377
target_aux_min_next_two_quarters_yoy,invalid_denominator,10424,0.036369599425008635
target_aux_min_next_two_quarters_yoy,missing_future,8844,0.030856939496812775
target_aux_min_next_two_quarters_yoy,missing_future|invalid_denominator,4476,0.01561687711304093
target_challenger_next_quarter_qoq,valid,278883,0.9730298346550924
target_challenger_next_quarter_qoq,missing_future,7730,0.026970165344907593
