archive_filename,member_filename,member_size_bytes,extracted_path
서울시 상권분석서비스(영역-상권).zip,서울시 상권분석서비스(영역-상권).cpg,5,data/raw/extracted/서울시 상권분석서비스(영역-상권)/서울시 상권분석서비스(영역-상권).cpg
서울시 상권분석서비스(영역-상권).zip,서울시 상권분석서비스(영역-상권).dbf,800636,data/raw/extracted/서울시 상권분석서비스(영역-상권)/서울시 상권분석서비스(영역-상권).dbf
서울시 상권분석서비스(영역-상권).zip,서울시 상권분석서비스(영역-상권).prj,417,data/raw/extracted/서울시 상권분석서비스(영역-상권)/서울시 상권분석서비스(영역-상권).prj
서울시 상권분석서비스(영역-상권).zip,서울시 상권분석서비스(영역-상권).shp,3642228,data/raw/extracted/서울시 상권분석서비스(영역-상권)/서울시 상권분석서비스(영역-상권).shp
서울시 상권분석서비스(영역-상권).zip,서울시 상권분석서비스(영역-상권).shx,13300,data/raw/extracted/서울시 상권분석서비스(영역-상권)/서울시 상권분석서비스(영역-상권).shx
서울시 상권분석서비스(점포-상권)_2024년.zip,서울시 상권분석서비스(점포-상권)_2024년.csv,30972314,data/raw/extracted/서울시 상권분석서비스(점포-상권)_2024년/서울시 상권분석서비스(점포-상권)_2024년.csv
서울시 상권분석서비스(점포-상권)_2025년.zip,서울시 상권분석서비스(점포-상권)_2025년.csv,31051537,data/raw/extracted/서울시 상권분석서비스(점포-상권)_2025년/서울시 상권분석서비스(점포-상권)_2025년.csv
서울시 상권분석서비스(추정매출-상권)_2024년.zip,서울시 상권분석서비스(추정매출-상권)_2024년.csv,40356222,data/raw/extracted/서울시 상권분석서비스(추정매출-상권)_2024년/서울시 상권분석서비스(추정매출-상권)_2024년.csv
서울시 상권분석서비스(추정매출-상권)_2025년.zip,서울시 상권분석서비스(추정매출-상권)_2025년.csv,39698674,data/raw/extracted/서울시 상권분석서비스(추정매출-상권)_2025년/서울시 상권분석서비스(추정매출-상권)_2025년.csv
서울시_상권분석서비스(점포-상권)_2021년.zip,서울시_상권분석서비스(점포-상권)_2021년.csv,30665727,data/raw/extracted/서울시_상권분석서비스(점포-상권)_2021년/서울시_상권분석서비스(점포-상권)_2021년.csv
서울시_상권분석서비스(점포-상권)_2022년.zip,서울시_상권분석서비스(점포-상권)_2022년.csv,30837274,data/raw/extracted/서울시_상권분석서비스(점포-상권)_2022년/서울시_상권분석서비스(점포-상권)_2022년.csv
서울시_상권분석서비스(점포-상권)_2023년.zip,서울시_상권분석서비스(점포-상권)_2023년.csv,31066178,data/raw/extracted/서울시_상권분석서비스(점포-상권)_2023년/서울시_상권분석서비스(점포-상권)_2023년.csv
서울시_상권분석서비스(추정매출-상권)_2021년.zip,서울시_상권분석서비스(추정매출-상권)_2021년.csv,41190289,data/raw/extracted/서울시_상권분석서비스(추정매출-상권)_2021년/서울시_상권분석서비스(추정매출-상권)_2021년.csv
서울시_상권분석서비스(추정매출-상권)_2022년.zip,서울시_상권분석서비스(추정매출-상권)_2022년.csv,41112625,data/raw/extracted/서울시_상권분석서비스(추정매출-상권)_2022년/서울시_상권분석서비스(추정매출-상권)_2022년.csv
서울시_상권분석서비스(추정매출-상권)_2023년.zip,서울시_상권분석서비스(추정매출-상권)_2023년.csv,40887998,data/raw/extracted/서울시_상권분석서비스(추정매출-상권)_2023년/서울시_상권분석서비스(추정매출-상권)_2023년.csv
