dataset_priority,dataset_name,source_organization,official_url,downloaded_at,reference_period,original_filename,extracted_path,file_size_bytes,file_format,encoding,delimiter,coordinate_reference_system,row_count,column_count,sha256,status,notes
P0,영역-상권,서울신용보증재단 (서울 열린데이터광장),https://data.seoul.go.kr/dataList/OA-15560/S/1/datasetView.do,2026-08-14T20:42+09:00,current_spatial_snapshot,서울시 상권분석서비스(영역-상권).zip,data/raw/extracted/서울시 상권분석서비스(영역-상권),2123078,ZIP (CPG/DBF/PRJ/SHP/SHX),UTF-8,,Korea_2000_Korea_Central_Belt,1650,11,38bb8fab4e45a1171af4989cd7fa1275f68e5d644aa770f5431ce7ccc38384dd,downloaded_and_audited,ZIP CRC and content stream read completed
P0,점포-상권,서울신용보증재단 (서울 열린데이터광장),https://data.seoul.go.kr/dataList/OA-15577/S/1/datasetView.do,2026-08-14T20:46+09:00,2024,서울시 상권분석서비스(점포-상권)_2024년.zip,data/raw/extracted/서울시 상권분석서비스(점포-상권)_2024년,2155369,ZIP (CSV),cp949,",",,306889,14,969b7c38e5f3cc8630970e4ca8b85ef1c20d485982f64a90de990b13b38ca5ff,downloaded_and_audited,ZIP CRC and content stream read completed
P0,점포-상권,서울신용보증재단 (서울 열린데이터광장),https://data.seoul.go.kr/dataList/OA-15577/S/1/datasetView.do,2026-08-14T20:46+09:00,2025,서울시 상권분석서비스(점포-상권)_2025년.zip,data/raw/extracted/서울시 상권분석서비스(점포-상권)_2025년,2119809,ZIP (CSV),cp949,",",,304775,14,133bfc6ce79e13ee5b289490e4667dfba46a0af5d0d71df360a0d324e030a4e6,downloaded_and_audited,ZIP CRC and content stream read completed
P0,추정매출-상권,서울신용보증재단 (서울 열린데이터광장),https://data.seoul.go.kr/dataList/OA-15572/S/1/datasetView.do,2026-08-14T20:44+09:00,2024,서울시 상권분석서비스(추정매출-상권)_2024년.zip,data/raw/extracted/서울시 상권분석서비스(추정매출-상권)_2024년,14288976,ZIP (CSV),cp949,",",,87179,55,97e7cde3a3291a8fd623f7b5268ea4b01a666027ae20da2ddf804ddae22288c5,downloaded_and_audited,ZIP CRC and content stream read completed
P0,추정매출-상권,서울신용보증재단 (서울 열린데이터광장),https://data.seoul.go.kr/dataList/OA-15572/S/1/datasetView.do,2026-08-14T20:43+09:00,2025,서울시 상권분석서비스(추정매출-상권)_2025년.zip,data/raw/extracted/서울시 상권분석서비스(추정매출-상권)_2025년,14035292,ZIP (CSV),cp949,",",,85732,55,c907f3d386d62b89f45781e6e6172328ee91b1b8dd2c621e4171e437bee1c6b2,downloaded_and_audited,ZIP CRC and content stream read completed
P0,점포-상권,서울신용보증재단 (서울 열린데이터광장),https://data.seoul.go.kr/dataList/OA-15577/S/1/datasetView.do,2026-08-14T20:46+09:00,2021,서울시_상권분석서비스(점포-상권)_2021년.zip,data/raw/extracted/서울시_상권분석서비스(점포-상권)_2021년,2131800,ZIP (CSV),cp949,",",,303880,14,c77313e0faab4fe4fe39a1657f2f530640c945ba41601e9eb960dd32bdc2434b,downloaded_and_audited,ZIP CRC and content stream read completed
P0,점포-상권,서울신용보증재단 (서울 열린데이터광장),https://data.seoul.go.kr/dataList/OA-15577/S/1/datasetView.do,2026-08-14T20:46+09:00,2022,서울시_상권분석서비스(점포-상권)_2022년.zip,data/raw/extracted/서울시_상권분석서비스(점포-상권)_2022년,2140484,ZIP (CSV),cp949,",",,305587,14,03ffa708ed864d12b56e8c608eb9d83e5337ff3ed3bd28826db9593fab678930,downloaded_and_audited,ZIP CRC and content stream read completed
P0,점포-상권,서울신용보증재단 (서울 열린데이터광장),https://data.seoul.go.kr/dataList/OA-15577/S/1/datasetView.do,2026-08-14T20:46+09:00,2023,서울시_상권분석서비스(점포-상권)_2023년.zip,data/raw/extracted/서울시_상권분석서비스(점포-상권)_2023년,2175485,ZIP (CSV),cp949,",",,307741,14,b95b113233b1b4dddabaedcf85e12213dff966de40e924e7a97a93fb9bbe662e,downloaded_and_audited,ZIP CRC and content stream read completed
P0,추정매출-상권,서울신용보증재단 (서울 열린데이터광장),https://data.seoul.go.kr/dataList/OA-15572/S/1/datasetView.do,2026-08-14T20:46+09:00,2021,서울시_상권분석서비스(추정매출-상권)_2021년.zip,data/raw/extracted/서울시_상권분석서비스(추정매출-상권)_2021년,14569835,ZIP (CSV),cp949,",",,89150,55,856e78aaacded902201d2476b274c5eb4f90b86eece4af4e4f2bba60c3d79eed,downloaded_and_audited,ZIP CRC and content stream read completed
P0,추정매출-상권,서울신용보증재단 (서울 열린데이터광장),https://data.seoul.go.kr/dataList/OA-15572/S/1/datasetView.do,2026-08-14T20:45+09:00,2022,서울시_상권분석서비스(추정매출-상권)_2022년.zip,data/raw/extracted/서울시_상권분석서비스(추정매출-상권)_2022년,14550635,ZIP (CSV),cp949,",",,88834,55,748bf317428f5085ba64aeee9aed6c52b465b304d28c941d527e816d1909abe6,downloaded_and_audited,ZIP CRC and content stream read completed
P0,추정매출-상권,서울신용보증재단 (서울 열린데이터광장),https://data.seoul.go.kr/dataList/OA-15572/S/1/datasetView.do,2026-08-14T20:45+09:00,2023,서울시_상권분석서비스(추정매출-상권)_2023년.zip,data/raw/extracted/서울시_상권분석서비스(추정매출-상권)_2023년,14481934,ZIP (CSV),cp949,",",,88246,55,34de330d0858a6af30014109f4f714762255daebafcb4d0e0f45c6223e0670fb,downloaded_and_audited,ZIP CRC and content stream read completed
