dataset,dimension,year,unique_count,new_from_previous_year,missing_from_previous_year
길단위인구-상권,상권코드,2021,1650,,
길단위인구-상권,상권코드,2022,1650,0.0,0.0
길단위인구-상권,상권코드,2023,1650,0.0,0.0
길단위인구-상권,상권코드,2024,1649,0.0,1.0
길단위인구-상권,상권코드,2025,1650,1.0,0.0
길단위인구-상권,상권코드,2026,1649,0.0,1.0
상권변화지표-상권,상권코드,2021,1650,,
상권변화지표-상권,상권코드,2022,1650,0.0,0.0
상권변화지표-상권,상권코드,2023,1650,0.0,0.0
상권변화지표-상권,상권코드,2024,1650,0.0,0.0
상권변화지표-상권,상권코드,2025,1650,0.0,0.0
상권변화지표-상권,상권코드,2026,1650,0.0,0.0
상주인구-상권,상권코드,2021,1634,,
상주인구-상권,상권코드,2022,1634,0.0,0.0
상주인구-상권,상권코드,2023,1636,3.0,1.0
상주인구-상권,상권코드,2024,1635,0.0,1.0
상주인구-상권,상권코드,2025,1633,0.0,2.0
상주인구-상권,상권코드,2026,1633,0.0,0.0
아파트-상권,상권코드,2021,1493,,
아파트-상권,상권코드,2022,1464,0.0,29.0
아파트-상권,상권코드,2023,1463,0.0,1.0
아파트-상권,상권코드,2024,1463,0.0,0.0
아파트-상권,상권코드,2025,1463,0.0,0.0
아파트-상권,상권코드,2026,1463,0.0,0.0
점포-상권,상권코드,2021,1650,,
점포-상권,상권코드,2022,1650,0.0,0.0
점포-상권,상권코드,2023,1650,0.0,0.0
점포-상권,상권코드,2024,1650,0.0,0.0
점포-상권,상권코드,2025,1650,0.0,0.0
직장인구-상권,상권코드,2021,1636,,
직장인구-상권,상권코드,2022,1638,2.0,0.0
직장인구-상권,상권코드,2023,1637,0.0,1.0
직장인구-상권,상권코드,2024,1642,5.0,0.0
직장인구-상권,상권코드,2025,1641,0.0,1.0
직장인구-상권,상권코드,2026,1641,0.0,0.0
집객시설-상권,상권코드,2021,1578,,
집객시설-상권,상권코드,2022,1578,0.0,0.0
집객시설-상권,상권코드,2023,1578,0.0,0.0
집객시설-상권,상권코드,2024,1578,0.0,0.0
집객시설-상권,상권코드,2025,1578,0.0,0.0
집객시설-상권,상권코드,2026,1578,0.0,0.0
추정매출-상권,상권코드,2021,1580,,
추정매출-상권,상권코드,2022,1576,3.0,7.0
추정매출-상권,상권코드,2023,1578,7.0,5.0
추정매출-상권,상권코드,2024,1581,8.0,5.0
추정매출-상권,상권코드,2025,1577,2.0,6.0
점포-상권,서비스업종코드,2021,100,,
점포-상권,서비스업종코드,2022,100,0.0,0.0
점포-상권,서비스업종코드,2023,100,0.0,0.0
점포-상권,서비스업종코드,2024,100,0.0,0.0
점포-상권,서비스업종코드,2025,100,0.0,0.0
추정매출-상권,서비스업종코드,2021,63,,
추정매출-상권,서비스업종코드,2022,63,0.0,0.0
추정매출-상권,서비스업종코드,2023,63,0.0,0.0
추정매출-상권,서비스업종코드,2024,62,0.0,1.0
추정매출-상권,서비스업종코드,2025,62,0.0,0.0
