join,base_rows,unmatched_rows,unmatched_rate
추정매출→점포,439141,0,0.0
점포→추정매출,1528872,1089731,0.7127679753439137
추정매출→영역,439141,0,0.0
추정매출→점포:20211,22239,0,0.0
추정매출→점포:20212,22325,0,0.0
추정매출→점포:20213,22232,0,0.0
추정매출→점포:20214,22354,0,0.0
추정매출→점포:20221,22255,0,0.0
추정매출→점포:20222,22250,0,0.0
추정매출→점포:20223,22113,0,0.0
추정매출→점포:20224,22216,0,0.0
추정매출→점포:20231,22106,0,0.0
추정매출→점포:20232,22083,0,0.0
추정매출→점포:20233,22017,0,0.0
추정매출→점포:20234,22040,0,0.0
추정매출→점포:20241,21910,0,0.0
추정매출→점포:20242,21887,0,0.0
추정매출→점포:20243,21718,0,0.0
추정매출→점포:20244,21664,0,0.0
추정매출→점포:20251,21427,0,0.0
추정매출→점포:20252,21452,0,0.0
추정매출→점포:20253,21520,0,0.0
추정매출→점포:20254,21333,0,0.0
