dataset,key_columns,row_count,null_key_rows,duplicate_key_count,duplicate_extra_rows,check,unique_codes,codes_with_multiple_names,names_with_multiple_codes,example_code_with_multiple_names
추정매출-상권,"period, area, industry",439141.0,0.0,0.0,0.0,,,,,
점포-상권,"period, area, industry",1528872.0,0.0,0.0,0.0,,,,,
길단위인구-상권,"period, area",34633.0,0.0,0.0,0.0,,,,,
상권변화지표-상권,"period, area",34650.0,0.0,0.0,0.0,,,,,
상주인구-상권,"period, area",34275.0,0.0,0.0,0.0,,,,,
아파트-상권,"period, area",30790.0,0.0,0.0,0.0,,,,,
직장인구-상권,"period, area",34386.0,0.0,0.0,0.0,,,,,
집객시설-상권,"period, area",33138.0,0.0,0.0,0.0,,,,,
길단위인구-상권,,,,,,상권_구분_코드↔이름 관계,4.0,0.0,0.0,
길단위인구-상권,,,,,,상권_코드↔이름 관계,1650.0,2.0,0.0,"3110024: ['혜화동주민센터', '혜회동주민센터']"
상권변화지표-상권,,,,,,상권_구분_코드↔이름 관계,4.0,0.0,0.0,
상권변화지표-상권,,,,,,상권_변화_지표↔이름 관계,4.0,0.0,0.0,
상권변화지표-상권,,,,,,상권_코드↔이름 관계,1650.0,2.0,0.0,"3110024: ['혜화동주민센터', '혜회동주민센터']"
상권변화지표-자치구,,,,,,상권_변화_지표↔이름 관계,4.0,0.0,0.0,
상권변화지표-자치구,,,,,,자치구_코드↔이름 관계,25.0,0.0,0.0,
상주인구-상권,,,,,,상권_구분_코드↔이름 관계,4.0,0.0,0.0,
상주인구-상권,,,,,,상권_코드↔이름 관계,1637.0,2.0,0.0,"3110024: ['혜화동주민센터', '혜회동주민센터']"
아파트-상권,,,,,,상권_구분_코드↔이름 관계,4.0,0.0,0.0,
아파트-상권,,,,,,상권_코드↔이름 관계,1493.0,2.0,0.0,"3110024: ['혜화동주민센터', '혜회동주민센터']"
점포-상권,,,,,,상권_구분_코드↔이름 관계,4.0,0.0,0.0,
점포-상권,,,,,,상권_코드↔이름 관계,1650.0,1.0,0.0,"3110024: ['혜화동주민센터', '혜회동주민센터']"
점포-상권,,,,,,서비스_업종_코드↔이름 관계,100.0,0.0,0.0,
직장인구-상권,,,,,,상권_구분_코드↔이름 관계,4.0,0.0,0.0,
직장인구-상권,,,,,,상권_코드↔이름 관계,1643.0,2.0,0.0,"3110024: ['혜화동주민센터', '혜회동주민센터']"
직장인구-상권배후지,,,,,,상권_구분_코드↔이름 관계,1.0,0.0,0.0,
직장인구-상권배후지,,,,,,상권배후지_코드↔이름 관계,1090.0,2.0,0.0,"3110024: ['혜화동주민센터', '혜회동주민센터']"
집객시설-상권,,,,,,상권_구분_코드↔이름 관계,4.0,0.0,0.0,
집객시설-상권,,,,,,상권_코드↔이름 관계,1578.0,2.0,0.0,"3110024: ['혜화동주민센터', '혜회동주민센터']"
추정매출-상권,,,,,,상권_구분_코드↔이름 관계,4.0,0.0,0.0,
추정매출-상권,,,,,,상권_코드↔이름 관계,1596.0,1.0,0.0,"3110024: ['혜화동주민센터', '혜회동주민센터']"
추정매출-상권,,,,,,서비스_업종_코드↔이름 관계,63.0,0.0,0.0,
