dataset,check,checked_rows,issue_count,example,issue_rate,status
길단위인구-상권,성별 유동인구 합계 != 총 유동인구,34633,2610,기준_년분기_코드=20261 | 상권_코드=3130323,0.07536164929402593,REVIEW
상주인구-상권,성별 상주인구 합계 != 총 상주인구,34275,0,,0.0,PASS
상주인구-상권,아파트+비아파트 가구 != 총 가구,34275,0,,0.0,PASS
점포-상권,개업_율 범위 밖(0~100),1528872,14,기준_년분기_코드=20241 | 상권_코드=3110827 | 서비스_업종_코드=CS200034,9.157077897953523e-06,REVIEW
점포-상권,폐업_률 범위 밖(0~100),1528872,723,기준_년분기_코드=20241 | 상권_코드=3110058 | 서비스_업종_코드=CS100002,0.0004728976657300284,REVIEW
점포-상권,프랜차이즈 점포 수 > 유사업종 점포 수,1528872,0,,0.0,PASS
직장인구-상권,성별 직장인구 합계 != 총 직장인구,34386,0,,0.0,PASS
직장인구-상권배후지,성별 직장인구 합계 != 총 직장인구,22890,0,,0.0,PASS
추정매출-상권,주중+주말 매출건수 != 당월 매출건수,439141,0,,0.0,PASS
추정매출-상권,주중+주말 매출금액 != 당월 매출금액,439141,0,,0.0,PASS
길단위인구-상권,금요일_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,남성_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,목요일_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,수요일_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,시간대_00_06_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,시간대_06_11_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,시간대_11_14_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,시간대_14_17_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,시간대_17_21_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,시간대_21_24_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,여성_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,연령대_10_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,연령대_20_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,연령대_30_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,연령대_40_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,연령대_50_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,연령대_60_이상_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,월요일_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,일요일_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,총_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,토요일_유동인구_수 음수,34633,0,,,PASS
길단위인구-상권,화요일_유동인구_수 음수,34633,0,,,PASS
상권변화지표-상권,서울_운영_영업_개월_평균 음수,34650,0,,,PASS
상권변화지표-상권,서울_폐업_영업_개월_평균 음수,34650,0,,,PASS
상권변화지표-상권,운영_영업_개월_평균 음수,34650,0,,,PASS
상권변화지표-상권,폐업_영업_개월_평균 음수,34650,0,,,PASS
상권변화지표-자치구,서울_운영_영업_개월_평균 음수,525,0,,,PASS
상권변화지표-자치구,서울_폐업_영업_개월_평균 음수,525,0,,,PASS
상권변화지표-자치구,운영_영업_개월_평균 음수,525,0,,,PASS
상권변화지표-자치구,폐업_영업_개월_평균 음수,525,0,,,PASS
상주인구-상권,남성_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,남성연령대_10_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,남성연령대_20_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,남성연령대_30_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,남성연령대_40_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,남성연령대_50_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,남성연령대_60_이상_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,비_아파트_가구_수 음수,34275,0,,,PASS
상주인구-상권,아파트_가구_수 음수,34275,0,,,PASS
상주인구-상권,여성_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,여성연령대_10_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,여성연령대_20_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,여성연령대_30_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,여성연령대_40_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,여성연령대_50_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,여성연령대_60_이상_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,연령대_10_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,연령대_20_상주인구_수 음수,34275,0,,,PASS
상주인구-상권,연령대_30_상주인구_수 음수,34275,0,,,PASS
