dataset,column,count,min,p01,p05,median,p95,p99,max,mean,std,quantile_sample_size,quantiles
길단위인구-상권,총_유동인구_수,34633,4.0,14225.4,41631.600000000006,558510.0,2376633.8000000003,4341565.2,8816195.0,822067.8530303468,885223.5252889935,34633,deterministic reservoir approximation
상주인구-상권,총_가구_수,34275,1.0,5.0,44.0,912.0,3895.0,5592.0,9357.0,1284.0878191101385,1265.7896133812947,34275,deterministic reservoir approximation
상주인구-상권,총_상주인구_수,34275,1.0,7.0,68.0,1617.0,7081.0,9998.0,21341.0,2322.5840408460977,2280.741208263521,34275,deterministic reservoir approximation
아파트-상권,아파트_단지_수,30790,1.0,1.0,1.0,27.0,154.0,285.0,725.0,45.60568366352712,58.87978339525045,30790,deterministic reservoir approximation
아파트-상권,아파트_평균_시가,30790,22819512.0,88143864.0,115069494.0,182529834.0,586800275.0,1201272294.0,2570164683.0,247392995.4294576,218740856.01953712,30790,deterministic reservoir approximation
점포-상권,개업_율,1528872,0.0,0.0,0.0,0.0,14.0,50.0,200.0,2.518474404659121,11.233875292059388,50000,deterministic reservoir approximation
점포-상권,유사_업종_점포_수,1528872,0.0,1.0,1.0,2.0,21.0,67.01000000000204,12934.0,6.86258431052436,56.48225480882679,50000,deterministic reservoir approximation
점포-상권,점포_수,1528872,0.0,0.0,1.0,2.0,19.0,61.0,12925.0,6.320135367774411,56.12192267363379,50000,deterministic reservoir approximation
점포-상권,폐업_률,1528872,0.0,0.0,0.0,0.0,13.0,50.0,500.0,2.3727336232202565,11.710077758850177,50000,deterministic reservoir approximation
직장인구-상권,총_직장_인구_수,34386,1.0,11.0,38.0,461.0,11588.0,48521.0,214604.0,2719.904961321468,10430.991763880213,34386,deterministic reservoir approximation
집객시설-상권,집객시설_수,33138,1.0,1.0,2.0,12.0,72.0,158.0,594.0,20.871356147021547,32.25976714476371,33138,deterministic reservoir approximation
추정매출-상권,당월_매출_건수,439141,1.0,16.0,77.0,4291.0,148427.69999999914,426538.22000000067,17041961.0,34870.80231861748,161808.53674808162,50000,deterministic reservoir approximation
추정매출-상권,당월_매출_금액,439141,31.0,1160779.29,5920717.9,170526652.5,3393589884.6,11661145608.86,1373912008223.0,1021459967.821793,9654809244.20547,50000,deterministic reservoir approximation
