상권_코드,서비스_업종_코드,최초_분기,최종_분기,관측_분기_수,전체기간_기대_분기_수,전체기간_누락률,활성기간_기대_분기_수,활성기간_누락률
3001491,CS100001,20211,20254,20,20,0.0,20,0.0
3001491,CS100002,20211,20254,20,20,0.0,20,0.0
3001491,CS100003,20211,20254,20,20,0.0,20,0.0
3001491,CS100004,20211,20254,20,20,0.0,20,0.0
3001491,CS100005,20211,20254,20,20,0.0,20,0.0
3001491,CS100006,20211,20254,20,20,0.0,20,0.0
3001491,CS100007,20211,20242,14,20,0.3,14,0.0
3001491,CS100008,20211,20254,20,20,0.0,20,0.0
3001491,CS100009,20211,20254,20,20,0.0,20,0.0
3001491,CS100010,20211,20254,20,20,0.0,20,0.0
3001491,CS200006,20211,20254,20,20,0.0,20,0.0
3001491,CS200007,20211,20254,20,20,0.0,20,0.0
3001491,CS200016,20211,20241,13,20,0.35,13,0.0
3001491,CS200024,20211,20254,20,20,0.0,20,0.0
3001491,CS200028,20211,20254,20,20,0.0,20,0.0
3001491,CS200029,20211,20254,20,20,0.0,20,0.0
3001491,CS200030,20211,20254,20,20,0.0,20,0.0
3001491,CS200031,20211,20254,20,20,0.0,20,0.0
3001491,CS200034,20211,20222,6,20,0.7,6,0.0
3001491,CS200037,20211,20254,20,20,0.0,20,0.0
3001491,CS300001,20211,20254,20,20,0.0,20,0.0
3001491,CS300002,20211,20254,20,20,0.0,20,0.0
3001491,CS300010,20211,20254,20,20,0.0,20,0.0
3001491,CS300011,20211,20254,20,20,0.0,20,0.0
3001491,CS300014,20211,20254,20,20,0.0,20,0.0
3001491,CS300015,20211,20254,20,20,0.0,20,0.0
3001491,CS300016,20211,20254,20,20,0.0,20,0.0
3001491,CS300017,20211,20254,20,20,0.0,20,0.0
3001491,CS300018,20211,20254,20,20,0.0,20,0.0
3001491,CS300020,20211,20254,20,20,0.0,20,0.0
3001491,CS300021,20221,20221,1,20,0.95,1,0.0
3001491,CS300022,20211,20254,20,20,0.0,20,0.0
3001491,CS300024,20211,20254,20,20,0.0,20,0.0
3001491,CS300027,20211,20254,20,20,0.0,20,0.0
3001491,CS300028,20211,20254,20,20,0.0,20,0.0
3001491,CS300031,20211,20254,18,20,0.1,20,0.1
3001491,CS300036,20211,20244,16,20,0.2,16,0.0
3001491,CS300043,20211,20254,18,20,0.1,20,0.1
3001492,CS100001,20211,20254,20,20,0.0,20,0.0
3001492,CS100002,20211,20254,20,20,0.0,20,0.0
3001492,CS100003,20211,20254,20,20,0.0,20,0.0
3001492,CS100004,20211,20254,20,20,0.0,20,0.0
3001492,CS100005,20211,20254,20,20,0.0,20,0.0
3001492,CS100006,20211,20254,20,20,0.0,20,0.0
3001492,CS100007,20211,20254,20,20,0.0,20,0.0
3001492,CS100008,20211,20254,20,20,0.0,20,0.0
3001492,CS100009,20211,20254,20,20,0.0,20,0.0
3001492,CS100010,20211,20254,20,20,0.0,20,0.0
3001492,CS200002,20211,20254,20,20,0.0,20,0.0
3001492,CS200003,20211,20253,19,20,0.05,19,0.0
3001492,CS200005,20211,20254,20,20,0.0,20,0.0
3001492,CS200006,20211,20254,20,20,0.0,20,0.0
3001492,CS200007,20211,20254,20,20,0.0,20,0.0
3001492,CS200008,20211,20254,20,20,0.0,20,0.0
3001492,CS200016,20211,20254,20,20,0.0,20,0.0
3001492,CS200017,20211,20254,20,20,0.0,20,0.0
3001492,CS200024,20211,20254,20,20,0.0,20,0.0
3001492,CS200028,20211,20254,20,20,0.0,20,0.0
3001492,CS200029,20211,20254,20,20,0.0,20,0.0
3001492,CS200030,20211,20254,20,20,0.0,20,0.0
3001492,CS200031,20211,20254,20,20,0.0,20,0.0
3001492,CS200032,20234,20241,2,20,0.9,2,0.0
3001492,CS200033,20211,20254,17,20,0.15,20,0.15
3001492,CS200034,20211,20254,20,20,0.0,20,0.0
3001492,CS200037,20211,20254,20,20,0.0,20,0.0
3001492,CS300001,20211,20254,20,20,0.0,20,0.0
3001492,CS300002,20211,20254,20,20,0.0,20,0.0
3001492,CS300004,20211,20254,20,20,0.0,20,0.0
3001492,CS300006,20211,20254,20,20,0.0,20,0.0
3001492,CS300007,20211,20254,20,20,0.0,20,0.0
3001492,CS300008,20211,20254,19,20,0.05,20,0.05
3001492,CS300009,20211,20254,20,20,0.0,20,0.0
3001492,CS300010,20211,20254,20,20,0.0,20,0.0
3001492,CS300011,20211,20254,20,20,0.0,20,0.0
3001492,CS300014,20211,20254,20,20,0.0,20,0.0
3001492,CS300015,20211,20254,20,20,0.0,20,0.0
3001492,CS300016,20211,20254,20,20,0.0,20,0.0
3001492,CS300017,20211,20254,20,20,0.0,20,0.0
3001492,CS300018,20211,20254,20,20,0.0,20,0.0
3001492,CS300019,20211,20254,20,20,0.0,20,0.0
3001492,CS300020,20211,20254,20,20,0.0,20,0.0
3001492,CS300021,20211,20254,20,20,0.0,20,0.0
