dataset,기준_년분기_코드,year,quarter,row_count,unique_area_count,unique_industry_count
길단위인구-상권,20211,2021,1,1650,1650,0
길단위인구-상권,20212,2021,2,1650,1650,0
길단위인구-상권,20213,2021,3,1650,1650,0
길단위인구-상권,20214,2021,4,1650,1650,0
길단위인구-상권,20221,2022,1,1650,1650,0
길단위인구-상권,20222,2022,2,1650,1650,0
길단위인구-상권,20223,2022,3,1650,1650,0
길단위인구-상권,20224,2022,4,1649,1649,0
길단위인구-상권,20231,2023,1,1649,1649,0
길단위인구-상권,20232,2023,2,1649,1649,0
길단위인구-상권,20233,2023,3,1649,1649,0
길단위인구-상권,20234,2023,4,1648,1648,0
길단위인구-상권,20241,2024,1,1649,1649,0
길단위인구-상권,20242,2024,2,1649,1649,0
길단위인구-상권,20243,2024,3,1648,1648,0
길단위인구-상권,20244,2024,4,1649,1649,0
길단위인구-상권,20251,2025,1,1650,1650,0
길단위인구-상권,20252,2025,2,1649,1649,0
길단위인구-상권,20253,2025,3,1648,1648,0
길단위인구-상권,20254,2025,4,1648,1648,0
길단위인구-상권,20261,2026,1,1649,1649,0
상권변화지표-상권,20211,2021,1,1650,1650,0
상권변화지표-상권,20212,2021,2,1650,1650,0
상권변화지표-상권,20213,2021,3,1650,1650,0
상권변화지표-상권,20214,2021,4,1650,1650,0
상권변화지표-상권,20221,2022,1,1650,1650,0
상권변화지표-상권,20222,2022,2,1650,1650,0
상권변화지표-상권,20223,2022,3,1650,1650,0
상권변화지표-상권,20224,2022,4,1650,1650,0
상권변화지표-상권,20231,2023,1,1650,1650,0
상권변화지표-상권,20232,2023,2,1650,1650,0
상권변화지표-상권,20233,2023,3,1650,1650,0
상권변화지표-상권,20234,2023,4,1650,1650,0
상권변화지표-상권,20241,2024,1,1650,1650,0
상권변화지표-상권,20242,2024,2,1650,1650,0
상권변화지표-상권,20243,2024,3,1650,1650,0
상권변화지표-상권,20244,2024,4,1650,1650,0
상권변화지표-상권,20251,2025,1,1650,1650,0
상권변화지표-상권,20252,2025,2,1650,1650,0
상권변화지표-상권,20253,2025,3,1650,1650,0
상권변화지표-상권,20254,2025,4,1650,1650,0
상권변화지표-상권,20261,2026,1,1650,1650,0
상권변화지표-자치구,20211,2021,1,25,0,0
상권변화지표-자치구,20212,2021,2,25,0,0
상권변화지표-자치구,20213,2021,3,25,0,0
상권변화지표-자치구,20214,2021,4,25,0,0
상권변화지표-자치구,20221,2022,1,25,0,0
상권변화지표-자치구,20222,2022,2,25,0,0
상권변화지표-자치구,20223,2022,3,25,0,0
상권변화지표-자치구,20224,2022,4,25,0,0
상권변화지표-자치구,20231,2023,1,25,0,0
상권변화지표-자치구,20232,2023,2,25,0,0
상권변화지표-자치구,20233,2023,3,25,0,0
상권변화지표-자치구,20234,2023,4,25,0,0
상권변화지표-자치구,20241,2024,1,25,0,0
상권변화지표-자치구,20242,2024,2,25,0,0
상권변화지표-자치구,20243,2024,3,25,0,0
상권변화지표-자치구,20244,2024,4,25,0,0
상권변화지표-자치구,20251,2025,1,25,0,0
상권변화지표-자치구,20252,2025,2,25,0,0
상권변화지표-자치구,20253,2025,3,25,0,0
상권변화지표-자치구,20254,2025,4,25,0,0
상권변화지표-자치구,20261,2026,1,25,0,0
상주인구-상권,20211,2021,1,1634,1634,0
상주인구-상권,20212,2021,2,1634,1634,0
상주인구-상권,20213,2021,3,1634,1634,0
상주인구-상권,20214,2021,4,1634,1634,0
상주인구-상권,20221,2022,1,1634,1634,0
상주인구-상권,20222,2022,2,1634,1634,0
상주인구-상권,20223,2022,3,1634,1634,0
상주인구-상권,20224,2022,4,1625,1625,0
상주인구-상권,20231,2023,1,1628,1628,0
상주인구-상권,20232,2023,2,1625,1625,0
상주인구-상권,20233,2023,3,1625,1625,0
상주인구-상권,20234,2023,4,1635,1635,0
상주인구-상권,20241,2024,1,1635,1635,0
상주인구-상권,20242,2024,2,1633,1633,0
상주인구-상권,20243,2024,3,1633,1633,0
상주인구-상권,20244,2024,4,1633,1633,0
상주인구-상권,20251,2025,1,1633,1633,0
상주인구-상권,20252,2025,2,1633,1633,0
상주인구-상권,20253,2025,3,1633,1633,0
상주인구-상권,20254,2025,4,1633,1633,0
상주인구-상권,20261,2026,1,1633,1633,0
아파트-상권,20211,2021,1,1484,1484,0
아파트-상권,20212,2021,2,1484,1484,0
아파트-상권,20213,2021,3,1484,1484,0
아파트-상권,20214,2021,4,1464,1464,0
아파트-상권,20221,2022,1,1464,1464,0
아파트-상권,20222,2022,2,1464,1464,0
아파트-상권,20223,2022,3,1464,1464,0
아파트-상권,20224,2022,4,1463,1463,0
아파트-상권,20231,2023,1,1463,1463,0
아파트-상권,20232,2023,2,1463,1463,0
아파트-상권,20233,2023,3,1463,1463,0
아파트-상권,20234,2023,4,1463,1463,0
아파트-상권,20241,2024,1,1463,1463,0
아파트-상권,20242,2024,2,1463,1463,0
아파트-상권,20243,2024,3,1463,1463,0
아파트-상권,20244,2024,4,1463,1463,0
아파트-상권,20251,2025,1,1463,1463,0
아파트-상권,20252,2025,2,1463,1463,0
아파트-상권,20253,2025,3,1463,1463,0
아파트-상권,20254,2025,4,1463,1463,0
아파트-상권,20261,2026,1,1463,1463,0
점포-상권,20211,2021,1,75891,1650,100
점포-상권,20212,2021,2,75896,1650,100
점포-상권,20213,2021,3,75917,1650,100
점포-상권,20214,2021,4,76176,1650,100
점포-상권,20221,2022,1,76212,1650,100
점포-상권,20222,2022,2,76283,1650,100
점포-상권,20223,2022,3,76493,1650,100
점포-상권,20224,2022,4,76599,1650,100
점포-상권,20231,2023,1,76826,1650,100
점포-상권,20232,2023,2,76871,1650,100
점포-상권,20233,2023,3,76988,1650,100
점포-상권,20234,2023,4,77056,1650,100
점포-상권,20241,2024,1,77025,1650,100
점포-상권,20242,2024,2,76824,1650,100
점포-상권,20243,2024,3,76595,1650,100
점포-상권,20244,2024,4,76445,1650,100
점포-상권,20251,2025,1,76383,1650,100
점포-상권,20252,2025,2,76238,1650,100
점포-상권,20253,2025,3,76169,1650,100
점포-상권,20254,2025,4,75985,1650,100
직장인구-상권,20211,2021,1,1636,1636,0
직장인구-상권,20212,2021,2,1636,1636,0
직장인구-상권,20213,2021,3,1636,1636,0
직장인구-상권,20214,2021,4,1635,1635,0
직장인구-상권,20221,2022,1,1635,1635,0
직장인구-상권,20222,2022,2,1635,1635,0
직장인구-상권,20223,2022,3,1635,1635,0
직장인구-상권,20224,2022,4,1637,1637,0
직장인구-상권,20231,2023,1,1637,1637,0
직장인구-상권,20232,2023,2,1637,1637,0
직장인구-상권,20233,2023,3,1637,1637,0
직장인구-상권,20234,2023,4,1636,1636,0
직장인구-상권,20241,2024,1,1636,1636,0
직장인구-상권,20242,2024,2,1636,1636,0
직장인구-상권,20243,2024,3,1636,1636,0
직장인구-상권,20244,2024,4,1641,1641,0
직장인구-상권,20251,2025,1,1641,1641,0
직장인구-상권,20252,2025,2,1641,1641,0
