position,column,storage_type,source,time_scope
1,기준_연도,int64,추정매출-상권 기준키,현재 분기 원본
2,기준_분기,int64,추정매출-상권 기준키,현재 분기 원본
3,기준_년분기_코드,string,추정매출-상권 기준키,현재 분기 원본
4,상권_구분_코드,string,추정매출-상권 기준키,현재 분기 원본
5,상권_구분_코드_명,string,추정매출-상권 기준키,현재 분기 원본
6,상권_코드,string,추정매출-상권 기준키,현재 분기 원본
7,상권_코드_명,string,추정매출-상권 기준키,현재 분기 원본
8,서비스_업종_코드,string,추정매출-상권 기준키,현재 분기 원본
9,서비스_업종_코드_명,string,추정매출-상권 기준키,현재 분기 원본
10,당월_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
11,당월_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
12,주중_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
13,주말_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
14,월요일_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
15,화요일_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
16,수요일_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
17,목요일_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
18,금요일_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
19,토요일_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
20,일요일_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
21,시간대_00~06_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
22,시간대_06~11_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
23,시간대_11~14_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
24,시간대_14~17_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
25,시간대_17~21_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
26,시간대_21~24_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
27,남성_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
28,여성_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
29,연령대_10_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
30,연령대_20_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
31,연령대_30_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
32,연령대_40_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
33,연령대_50_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
34,연령대_60_이상_매출_금액,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
35,주중_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
36,주말_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
37,월요일_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
38,화요일_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
39,수요일_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
40,목요일_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
41,금요일_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
42,토요일_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
43,일요일_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
44,시간대_건수~06_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
45,시간대_건수~11_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
46,시간대_건수~14_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
47,시간대_건수~17_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
48,시간대_건수~21_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
49,시간대_건수~24_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
50,남성_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
51,여성_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
52,연령대_10_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
53,연령대_20_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
54,연령대_30_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
55,연령대_40_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
56,연령대_50_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
57,연령대_60_이상_매출_건수,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
58,점포_수,double,점포-상권 또는 파생,현재 분기 원본
59,유사_업종_점포_수,double,점포-상권 또는 파생,현재 분기 원본
60,개업_율,double,점포-상권 또는 파생,현재 분기 원본
61,개업_점포_수,double,점포-상권 또는 파생,현재 분기 원본
62,폐업_률,double,점포-상권 또는 파생,현재 분기 원본
63,폐업_점포_수,double,점포-상권 또는 파생,현재 분기 원본
64,프랜차이즈_점포_수,double,점포-상권 또는 파생,현재 분기 원본
65,점포_결합_여부,int64,점포-상권 또는 파생,현재 분기 원본
66,전분기_연속_여부,int64,추정매출-상권 또는 과거값 파생,현재 분기 원본
67,최근_4분기_연속_여부,int64,추정매출-상권 또는 과거값 파생,현재 및 과거 분기만 사용
68,전분기_매출_증감률,double,추정매출-상권 또는 과거값 파생,현재 및 과거 분기만 사용
69,전년동기_매출_증감률,double,추정매출-상권 또는 과거값 파생,현재 및 과거 분기만 사용
70,최근_2분기_매출_변화액,double,추정매출-상권 또는 과거값 파생,현재 및 과거 분기만 사용
71,최근_4분기_매출_선형기울기,double,추정매출-상권 또는 과거값 파생,현재 및 과거 분기만 사용
72,주말_매출_비중,double,추정매출-상권 또는 과거값 파생,현재 분기 원본
73,점포_증감률,double,점포-상권 또는 파생,현재 및 과거 분기만 사용
74,프랜차이즈_점포_비율,double,점포-상권 또는 파생,현재 분기 원본
75,유동__총_유동인구_수,double,길단위인구-상권,현재 분기 원본
76,유동__남성_유동인구_수,double,길단위인구-상권,현재 분기 원본
77,유동__여성_유동인구_수,double,길단위인구-상권,현재 분기 원본
78,유동__연령대_10_유동인구_수,double,길단위인구-상권,현재 분기 원본
79,유동__연령대_20_유동인구_수,double,길단위인구-상권,현재 분기 원본
80,유동__연령대_30_유동인구_수,double,길단위인구-상권,현재 분기 원본
81,유동__연령대_40_유동인구_수,double,길단위인구-상권,현재 분기 원본
82,유동__연령대_50_유동인구_수,double,길단위인구-상권,현재 분기 원본
83,유동__연령대_60_이상_유동인구_수,double,길단위인구-상권,현재 분기 원본
84,유동__시간대_00_06_유동인구_수,double,길단위인구-상권,현재 분기 원본
85,유동__시간대_06_11_유동인구_수,double,길단위인구-상권,현재 분기 원본
86,유동__시간대_11_14_유동인구_수,double,길단위인구-상권,현재 분기 원본
87,유동__시간대_14_17_유동인구_수,double,길단위인구-상권,현재 분기 원본
88,유동__시간대_17_21_유동인구_수,double,길단위인구-상권,현재 분기 원본
89,유동__시간대_21_24_유동인구_수,double,길단위인구-상권,현재 분기 원본
90,유동__월요일_유동인구_수,double,길단위인구-상권,현재 분기 원본
91,유동__화요일_유동인구_수,double,길단위인구-상권,현재 분기 원본
92,유동__수요일_유동인구_수,double,길단위인구-상권,현재 분기 원본
93,유동__목요일_유동인구_수,double,길단위인구-상권,현재 분기 원본
94,유동__금요일_유동인구_수,double,길단위인구-상권,현재 분기 원본
95,유동__토요일_유동인구_수,double,길단위인구-상권,현재 분기 원본
96,유동__일요일_유동인구_수,double,길단위인구-상권,현재 분기 원본
97,유동__결합_여부,int64,길단위인구-상권,현재 분기 원본
98,변화__상권_변화_지표,string,상권변화지표-상권,현재 분기 원본
99,변화__상권_변화_지표_명,string,상권변화지표-상권,현재 분기 원본
100,변화__운영_영업_개월_평균,double,상권변화지표-상권,현재 분기 원본
101,변화__폐업_영업_개월_평균,double,상권변화지표-상권,현재 분기 원본
102,변화__서울_운영_영업_개월_평균,double,상권변화지표-상권,현재 분기 원본
103,변화__서울_폐업_영업_개월_평균,double,상권변화지표-상권,현재 분기 원본
104,변화__결합_여부,int64,상권변화지표-상권,현재 분기 원본
105,상주__총_상주인구_수,double,상주인구-상권,현재 분기 원본
106,상주__남성_상주인구_수,double,상주인구-상권,현재 분기 원본
107,상주__여성_상주인구_수,double,상주인구-상권,현재 분기 원본
108,상주__연령대_10_상주인구_수,double,상주인구-상권,현재 분기 원본
109,상주__연령대_20_상주인구_수,double,상주인구-상권,현재 분기 원본
110,상주__연령대_30_상주인구_수,double,상주인구-상권,현재 분기 원본
111,상주__연령대_40_상주인구_수,double,상주인구-상권,현재 분기 원본
112,상주__연령대_50_상주인구_수,double,상주인구-상권,현재 분기 원본
113,상주__연령대_60_이상_상주인구_수,double,상주인구-상권,현재 분기 원본
114,상주__남성연령대_10_상주인구_수,double,상주인구-상권,현재 분기 원본
115,상주__남성연령대_20_상주인구_수,double,상주인구-상권,현재 분기 원본
116,상주__남성연령대_30_상주인구_수,double,상주인구-상권,현재 분기 원본
117,상주__남성연령대_40_상주인구_수,double,상주인구-상권,현재 분기 원본
118,상주__남성연령대_50_상주인구_수,double,상주인구-상권,현재 분기 원본
119,상주__남성연령대_60_이상_상주인구_수,double,상주인구-상권,현재 분기 원본
120,상주__여성연령대_10_상주인구_수,double,상주인구-상권,현재 분기 원본
121,상주__여성연령대_20_상주인구_수,double,상주인구-상권,현재 분기 원본
122,상주__여성연령대_30_상주인구_수,double,상주인구-상권,현재 분기 원본
123,상주__여성연령대_40_상주인구_수,double,상주인구-상권,현재 분기 원본
124,상주__여성연령대_50_상주인구_수,double,상주인구-상권,현재 분기 원본
125,상주__여성연령대_60_이상_상주인구_수,double,상주인구-상권,현재 분기 원본
126,상주__총_가구_수,double,상주인구-상권,현재 분기 원본
127,상주__아파트_가구_수,double,상주인구-상권,현재 분기 원본
128,상주__비_아파트_가구_수,double,상주인구-상권,현재 분기 원본
129,상주__결합_여부,int64,상주인구-상권,현재 분기 원본
130,직장__총_직장_인구_수,double,직장인구-상권,현재 분기 원본
131,직장__남성_직장_인구_수,double,직장인구-상권,현재 분기 원본
132,직장__여성_직장_인구_수,double,직장인구-상권,현재 분기 원본
133,직장__연령대_10_직장_인구_수,double,직장인구-상권,현재 분기 원본
134,직장__연령대_20_직장_인구_수,double,직장인구-상권,현재 분기 원본
135,직장__연령대_30_직장_인구_수,double,직장인구-상권,현재 분기 원본
136,직장__연령대_40_직장_인구_수,double,직장인구-상권,현재 분기 원본
137,직장__연령대_50_직장_인구_수,double,직장인구-상권,현재 분기 원본
138,직장__연령대_60_이상_직장_인구_수,double,직장인구-상권,현재 분기 원본
139,직장__남성연령대_10_직장_인구_수,double,직장인구-상권,현재 분기 원본
140,직장__남성연령대_20_직장_인구_수,double,직장인구-상권,현재 분기 원본
141,직장__남성연령대_30_직장_인구_수,double,직장인구-상권,현재 분기 원본
142,직장__남성연령대_40_직장_인구_수,double,직장인구-상권,현재 분기 원본
143,직장__남성연령대_50_직장_인구_수,double,직장인구-상권,현재 분기 원본
144,직장__남성연령대_60_이상_직장_인구_수,double,직장인구-상권,현재 분기 원본
