decline_threshold,fold,partition,target_end_start,target_end_end,rows,positive_rows,positive_rate
0.05,1,train,20222,20233,122011,30875,0.25305095442214226
0.05,1,validation,20241,20241,20265,6833,0.33718233407352577
0.05,2,train,20222,20234,142292,37523,0.26370421387007
0.05,2,validation,20242,20242,20209,7040,0.34835964174377754
0.05,3,train,20222,20241,162557,44356,0.2728642876037328
0.05,3,validation,20243,20243,20152,7678,0.38100436681222705
0.05,4,train,20222,20242,182766,51396,0.2812120416269985
0.05,4,validation,20244,20244,20055,7547,0.3763151333831962
0.08,1,train,20222,20233,122011,28394,0.2327167222627468
0.08,1,validation,20241,20241,20265,6148,0.30338021218850236
0.08,2,train,20222,20234,142292,34409,0.2418196384898659
0.08,2,validation,20242,20242,20209,6305,0.3119897075560394
0.08,3,train,20222,20241,162557,40557,0.24949402363478657
0.08,3,validation,20243,20243,20152,6944,0.3445811830091306
0.08,4,train,20222,20242,182766,46862,0.2564043640502063
0.08,4,validation,20244,20244,20055,6810,0.3395661929693343
0.1,1,train,20222,20233,122011,26692,0.2187671603380023
0.1,1,validation,20241,20241,20265,5670,0.27979274611398963
0.1,2,train,20222,20234,142292,32236,0.22654822477721867
0.1,2,validation,20242,20242,20209,5777,0.28586273442525606
0.1,3,train,20222,20241,162557,37906,0.23318589786967034
0.1,3,validation,20243,20243,20152,6404,0.3177848352520842
0.1,4,train,20222,20242,182766,43683,0.2390105380650668
0.1,4,validation,20244,20244,20055,6282,0.31323859386686614
0.12,1,train,20222,20233,122011,24860,0.20375212071042775
0.12,1,validation,20241,20241,20265,5185,0.25585985689612634
0.12,2,train,20222,20234,142292,29965,0.21058808647007562
0.12,2,validation,20242,20242,20209,5263,0.2604285219456678
0.12,3,train,20222,20241,162557,35150,0.21623184482981353
0.12,3,validation,20243,20243,20152,5827,0.28915244144501784
0.12,4,train,20222,20242,182766,40413,0.2211188076556909
0.12,4,validation,20244,20244,20055,5759,0.2871603091498379
0.15,1,train,20222,20233,122011,22211,0.18204096351968266
0.15,1,validation,20241,20241,20265,4528,0.2234394275845053
0.15,2,train,20222,20234,142292,26672,0.18744553453461896
0.15,2,validation,20242,20242,20209,4552,0.2252461774456925
0.15,3,train,20222,20241,162557,31200,0.19193267592290705
0.15,3,validation,20243,20243,20152,5054,0.25079396585946806
0.15,4,train,20222,20242,182766,35752,0.19561625247584344
0.15,4,validation,20244,20244,20055,5009,0.24976315133383195
0.18,1,train,20222,20233,122011,19818,0.16242797780527984
0.18,1,validation,20241,20241,20265,3933,0.19407846039970392
0.18,2,train,20222,20234,142292,23715,0.16666432406600512
0.18,2,validation,20242,20242,20209,3930,0.19446781137117125
0.18,3,train,20222,20241,162557,27648,0.17008187897168378
0.18,3,validation,20243,20243,20152,4350,0.21585946804287415
0.18,4,train,20222,20242,182766,31578,0.17277830668723942
0.18,4,validation,20244,20244,20055,4351,0.21695337820992272
0.2,1,train,20222,20233,122011,18313,0.1500930243994394
0.2,1,validation,20241,20241,20265,3578,0.1765605724154947
0.2,2,train,20222,20234,142292,21881,0.15377533522615466
0.2,2,validation,20242,20242,20209,3560,0.17615913701816022
0.2,3,train,20222,20241,162557,25459,0.15661583321542596
0.2,3,validation,20243,20243,20152,3930,0.19501786423183803
0.2,4,train,20222,20242,182766,29019,0.15877679655953514
0.2,4,validation,20244,20244,20055,3954,0.19715781600598353
