industry,industry_name,candidate,threshold,eligible_rows,positive_rows,positive_rate
CS100001,한식음식점,전년동기 대비 -5% 이하,-0.05,22317,6345,0.2843124075816642
CS100001,한식음식점,전년동기 대비 -10% 이하,-0.1,22317,4268,0.19124434287762693
CS100001,한식음식점,전체 하위 25%,-0.17390609669998308,22317,2351,0.10534570058699647
CS100001,한식음식점,전체 하위 30%,-0.1308751676746283,22317,3288,0.14733163059551016
CS100002,중식음식점,전년동기 대비 -5% 이하,-0.05,6756,2614,0.38691533451746596
CS100002,중식음식점,전년동기 대비 -10% 이하,-0.1,6756,1969,0.2914446417998816
CS100002,중식음식점,전체 하위 25%,-0.17390609669998308,6756,1249,0.1848727057430432
CS100002,중식음식점,전체 하위 30%,-0.1308751676746283,6756,1633,0.24171107164002367
CS100003,일식음식점,전년동기 대비 -5% 이하,-0.05,5180,2203,0.4252895752895753
CS100003,일식음식점,전년동기 대비 -10% 이하,-0.1,5180,1752,0.3382239382239382
CS100003,일식음식점,전체 하위 25%,-0.17390609669998308,5180,1200,0.23166023166023167
CS100003,일식음식점,전체 하위 30%,-0.1308751676746283,5180,1486,0.2868725868725869
CS100004,양식음식점,전년동기 대비 -5% 이하,-0.05,5159,2164,0.4194611358790463
CS100004,양식음식점,전년동기 대비 -10% 이하,-0.1,5159,1761,0.3413452219422369
CS100004,양식음식점,전체 하위 25%,-0.17390609669998308,5159,1239,0.24016282225237448
CS100004,양식음식점,전체 하위 30%,-0.1308751676746283,5159,1507,0.2921108742004264
CS100005,제과점,전년동기 대비 -5% 이하,-0.05,6488,2758,0.4250924784217016
CS100005,제과점,전년동기 대비 -10% 이하,-0.1,6488,1978,0.30487053020961774
CS100005,제과점,전체 하위 25%,-0.17390609669998308,6488,1198,0.1846485819975339
CS100005,제과점,전체 하위 30%,-0.1308751676746283,6488,1616,0.24907521578298397
CS100006,패스트푸드점,전년동기 대비 -5% 이하,-0.05,6298,3213,0.510161956176564
CS100006,패스트푸드점,전년동기 대비 -10% 이하,-0.1,6298,2630,0.4175928866306764
CS100006,패스트푸드점,전체 하위 25%,-0.17390609669998308,6298,1858,0.2950142902508733
CS100006,패스트푸드점,전체 하위 30%,-0.1308751676746283,6298,2294,0.36424261670371544
CS100007,치킨전문점,전년동기 대비 -5% 이하,-0.05,8618,4475,0.5192620097470411
CS100007,치킨전문점,전년동기 대비 -10% 이하,-0.1,8618,3796,0.44047342770944536
CS100007,치킨전문점,전체 하위 25%,-0.17390609669998308,8618,2819,0.327106057089812
CS100007,치킨전문점,전체 하위 30%,-0.1308751676746283,8618,3364,0.39034578788582036
CS100008,분식전문점,전년동기 대비 -5% 이하,-0.05,12291,5280,0.42958262143031484
CS100008,분식전문점,전년동기 대비 -10% 이하,-0.1,12291,4258,0.3464323488731592
CS100008,분식전문점,전체 하위 25%,-0.17390609669998308,12291,2987,0.24302335041900577
CS100008,분식전문점,전체 하위 30%,-0.1308751676746283,12291,3677,0.299161988446831
CS100009,호프-간이주점,전년동기 대비 -5% 이하,-0.05,14168,5714,0.40330321852060985
CS100009,호프-간이주점,전년동기 대비 -10% 이하,-0.1,14168,4769,0.33660361377752684
CS100009,호프-간이주점,전체 하위 25%,-0.17390609669998308,14168,3479,0.24555335968379446
CS100009,호프-간이주점,전체 하위 30%,-0.1308751676746283,14168,4202,0.296583850931677
CS100010,커피-음료,전년동기 대비 -5% 이하,-0.05,16689,6753,0.4046377853676074
CS100010,커피-음료,전년동기 대비 -10% 이하,-0.1,16689,5210,0.31218167655341844
CS100010,커피-음료,전체 하위 25%,-0.17390609669998308,16689,3435,0.20582419557792558
CS100010,커피-음료,전체 하위 30%,-0.1308751676746283,16689,4381,0.26250823895979386
CS200001,일반교습학원,전년동기 대비 -5% 이하,-0.05,9791,3692,0.3770809927484424
CS200001,일반교습학원,전년동기 대비 -10% 이하,-0.1,9791,3212,0.3280563783066081
CS200001,일반교습학원,전체 하위 25%,-0.17390609669998308,9791,2521,0.25748136043305075
CS200001,일반교습학원,전체 하위 30%,-0.1308751676746283,9791,2935,0.2997650903891329
CS200002,외국어학원,전년동기 대비 -5% 이하,-0.05,993,374,0.3766364551863041
CS200002,외국어학원,전년동기 대비 -10% 이하,-0.1,993,324,0.32628398791540786
CS200002,외국어학원,전체 하위 25%,-0.17390609669998308,993,246,0.24773413897280966
CS200002,외국어학원,전체 하위 30%,-0.1308751676746283,993,285,0.28700906344410876
CS200003,예술학원,전년동기 대비 -5% 이하,-0.05,7627,2982,0.3909794152353481
CS200003,예술학원,전년동기 대비 -10% 이하,-0.1,7627,2632,0.3450898125081946
CS200003,예술학원,전체 하위 25%,-0.17390609669998308,7627,2172,0.2847777632096499
CS200003,예술학원,전체 하위 30%,-0.1308751676746283,7627,2447,0.3208338796381277
CS200005,스포츠 강습,전년동기 대비 -5% 이하,-0.05,6995,2988,0.42716225875625446
CS200005,스포츠 강습,전년동기 대비 -10% 이하,-0.1,6995,2677,0.38270192994996427
CS200005,스포츠 강습,전체 하위 25%,-0.17390609669998308,6995,2215,0.3166547533952823
CS200005,스포츠 강습,전체 하위 30%,-0.1308751676746283,6995,2481,0.3546819156540386
CS200006,일반의원,전년동기 대비 -5% 이하,-0.05,8016,2097,0.2616017964071856
CS200006,일반의원,전년동기 대비 -10% 이하,-0.1,8016,1426,0.17789421157684632
CS200006,일반의원,전체 하위 25%,-0.17390609669998308,8016,784,0.09780439121756487
CS200006,일반의원,전체 하위 30%,-0.1308751676746283,8016,1124,0.14021956087824353
CS200007,치과의원,전년동기 대비 -5% 이하,-0.05,6031,2524,0.41850439396451666
CS200007,치과의원,전년동기 대비 -10% 이하,-0.1,6031,2003,0.33211739346708674
CS200007,치과의원,전체 하위 25%,-0.17390609669998308,6031,1341,0.2223511855413696
CS200007,치과의원,전체 하위 30%,-0.1308751676746283,6031,1729,0.2866854584645996
CS200008,한의원,전년동기 대비 -5% 이하,-0.05,4966,2259,0.45489327426500203
CS200008,한의원,전년동기 대비 -10% 이하,-0.1,4966,1896,0.38179621425694726
CS200008,한의원,전체 하위 25%,-0.17390609669998308,4966,1381,0.27809101892871524
CS200008,한의원,전체 하위 30%,-0.1308751676746283,4966,1671,0.3364881192106323
CS200016,당구장,전년동기 대비 -5% 이하,-0.05,5249,1763,0.3358734997142313
CS200016,당구장,전년동기 대비 -10% 이하,-0.1,5249,1492,0.28424461802248047
CS200016,당구장,전체 하위 25%,-0.17390609669998308,5249,1128,0.21489807582396647
CS200016,당구장,전체 하위 30%,-0.1308751676746283,5249,1334,0.2541436464088398
CS200017,골프연습장,전년동기 대비 -5% 이하,-0.05,2091,1109,0.5303682448589192
CS200017,골프연습장,전년동기 대비 -10% 이하,-0.1,2091,979,0.4681970349115256
CS200017,골프연습장,전체 하위 25%,-0.17390609669998308,2091,748,0.35772357723577236
CS200017,골프연습장,전체 하위 30%,-0.1308751676746283,2091,884,0.42276422764227645
CS200019,PC방,전년동기 대비 -5% 이하,-0.05,1907,903,0.4735186156266387
CS200019,PC방,전년동기 대비 -10% 이하,-0.1,1907,772,0.40482433141059254
CS200019,PC방,전체 하위 25%,-0.17390609669998308,1907,603,0.31620346093340324
CS200019,PC방,전체 하위 30%,-0.1308751676746283,1907,698,0.36601992658626115
CS200024,스포츠클럽,전년동기 대비 -5% 이하,-0.05,3396,1673,0.4926383981154299
CS200024,스포츠클럽,전년동기 대비 -10% 이하,-0.1,3396,1493,0.43963486454652534
CS200024,스포츠클럽,전체 하위 25%,-0.17390609669998308,3396,1232,0.3627797408716137
CS200024,스포츠클럽,전체 하위 30%,-0.1308751676746283,3396,1393,0.41018845700824497
CS200025,자동차수리,전년동기 대비 -5% 이하,-0.05,5899,2272,0.38515002542803867
CS200025,자동차수리,전년동기 대비 -10% 이하,-0.1,5899,1890,0.32039328699779623
CS200025,자동차수리,전체 하위 25%,-0.17390609669998308,5899,1380,0.2339379555856925
CS200025,자동차수리,전체 하위 30%,-0.1308751676746283,5899,1672,0.28343787082556365
CS200026,자동차미용,전년동기 대비 -5% 이하,-0.05,753,340,0.45152722443559096
CS200026,자동차미용,전년동기 대비 -10% 이하,-0.1,753,299,0.39707835325365204
CS200026,자동차미용,전체 하위 25%,-0.17390609669998308,753,238,0.3160690571049137
CS200026,자동차미용,전체 하위 30%,-0.1308751676746283,753,275,0.3652058432934927
CS200028,미용실,전년동기 대비 -5% 이하,-0.05,17581,7241,0.4118650816222058
CS200028,미용실,전년동기 대비 -10% 이하,-0.1,17581,5593,0.31812752403162503
CS200028,미용실,전체 하위 25%,-0.17390609669998308,17581,3597,0.20459587054206246
CS200028,미용실,전체 하위 30%,-0.1308751676746283,17581,4670,0.26562766623058987
CS200029,네일숍,전년동기 대비 -5% 이하,-0.05,4064,2009,0.4943405511811024
CS200029,네일숍,전년동기 대비 -10% 이하,-0.1,4064,1797,0.4421751968503937
CS200029,네일숍,전체 하위 25%,-0.17390609669998308,4064,1539,0.37869094488188976
CS200029,네일숍,전체 하위 30%,-0.1308751676746283,4064,1670,0.4109251968503937
CS200030,피부관리실,전년동기 대비 -5% 이하,-0.05,4870,2064,0.4238193018480493
CS200030,피부관리실,전년동기 대비 -10% 이하,-0.1,4870,1911,0.39240246406570845
CS200030,피부관리실,전체 하위 25%,-0.17390609669998308,4870,1662,0.3412731006160164
CS200030,피부관리실,전체 하위 30%,-0.1308751676746283,4870,1801,0.3698151950718686
CS200031,세탁소,전년동기 대비 -5% 이하,-0.05,6343,2177,0.3432129906984077
CS200031,세탁소,전년동기 대비 -10% 이하,-0.1,6343,1747,0.27542172473592935
CS200031,세탁소,전체 하위 25%,-0.17390609669998308,6343,1234,0.19454516790162385
CS200031,세탁소,전체 하위 30%,-0.1308751676746283,6343,1499,0.23632350622733722
CS200032,가전제품수리,전년동기 대비 -5% 이하,-0.05,753,336,0.44621513944223107
CS200032,가전제품수리,전년동기 대비 -10% 이하,-0.1,753,309,0.4103585657370518
CS200032,가전제품수리,전체 하위 25%,-0.17390609669998308,753,261,0.3466135458167331
CS200032,가전제품수리,전체 하위 30%,-0.1308751676746283,753,291,0.38645418326693226
CS200033,부동산중개업,전년동기 대비 -5% 이하,-0.05,319,135,0.4231974921630094
CS200033,부동산중개업,전년동기 대비 -10% 이하,-0.1,319,127,0.3981191222570533
CS200033,부동산중개업,전체 하위 25%,-0.17390609669998308,319,111,0.34796238244514105
CS200033,부동산중개업,전체 하위 30%,-0.1308751676746283,319,121,0.3793103448275862
CS200034,여관,전년동기 대비 -5% 이하,-0.05,2983,1565,0.5246396245390547
CS200034,여관,전년동기 대비 -10% 이하,-0.1,2983,1366,0.45792826014079785
CS200034,여관,전체 하위 25%,-0.17390609669998308,2983,1103,0.3697619845792826
CS200034,여관,전체 하위 30%,-0.1308751676746283,2983,1249,0.418706000670466
CS200036,고시원,전년동기 대비 -5% 이하,-0.05,2,1,0.5
CS200036,고시원,전년동기 대비 -10% 이하,-0.1,2,1,0.5
CS200036,고시원,전체 하위 25%,-0.17390609669998308,2,1,0.5
CS200036,고시원,전체 하위 30%,-0.1308751676746283,2,1,0.5
CS200037,노래방,전년동기 대비 -5% 이하,-0.05,8253,3058,0.3705319277838362
CS200037,노래방,전년동기 대비 -10% 이하,-0.1,8253,2615,0.3168544771598207
CS200037,노래방,전체 하위 25%,-0.17390609669998308,8253,1971,0.23882224645583425
CS200037,노래방,전체 하위 30%,-0.1308751676746283,8253,2359,0.2858354537743851
CS300001,슈퍼마켓,전년동기 대비 -5% 이하,-0.05,13590,6578,0.4840323767476085
CS300001,슈퍼마켓,전년동기 대비 -10% 이하,-0.1,13590,4949,0.3641648270787344
CS300001,슈퍼마켓,전체 하위 25%,-0.17390609669998308,13590,3098,0.2279617365710081
CS300001,슈퍼마켓,전체 하위 30%,-0.1308751676746283,13590,4058,0.2986019131714496
CS300002,편의점,전년동기 대비 -5% 이하,-0.05,10992,4584,0.4170305676855895
CS300002,편의점,전년동기 대비 -10% 이하,-0.1,10992,2877,0.261735807860262
CS300002,편의점,전체 하위 25%,-0.17390609669998308,10992,1424,0.12954876273653565
CS300002,편의점,전체 하위 30%,-0.1308751676746283,10992,2130,0.1937772925764192
CS300003,컴퓨터및주변장치판매,전년동기 대비 -5% 이하,-0.05,1262,619,0.49049128367670364
CS300003,컴퓨터및주변장치판매,전년동기 대비 -10% 이하,-0.1,1262,580,0.4595879556259905
CS300003,컴퓨터및주변장치판매,전체 하위 25%,-0.17390609669998308,1262,527,0.41759112519809827
