target_year,candidate,threshold,eligible_rows,positive_rows,positive_rate
2022,전년동기 대비 -5% 이하,-0.05,83131,29124,0.35033862217464
2022,전년동기 대비 -10% 이하,-0.1,83131,24358,0.29300742202066615
2022,전체 하위 25%,-0.17390609669998308,83131,18560,0.22326208033104378
2022,전체 하위 30%,-0.1308751676746283,83131,21887,0.2632832517352131
2023,전년동기 대비 -5% 이하,-0.05,82910,32545,0.39253407309130384
2023,전년동기 대비 -10% 이하,-0.1,82910,26573,0.320504161138584
2023,전체 하위 25%,-0.17390609669998308,82910,19417,0.23419370401640333
2023,전체 하위 30%,-0.1308751676746283,82910,23344,0.2815583162465324
2024,전년동기 대비 -5% 이하,-0.05,82176,38045,0.46296972352024923
2024,전년동기 대비 -10% 이하,-0.1,82176,30686,0.3734180295950156
2024,전체 하위 25%,-0.17390609669998308,82176,22090,0.2688132788161994
2024,전체 하위 30%,-0.1308751676746283,82176,26717,0.3251192562305296
2025,전년동기 대비 -5% 이하,-0.05,80952,37836,0.4673880818262674
2025,전년동기 대비 -10% 이하,-0.1,80952,30789,0.38033649570115624
2025,전체 하위 25%,-0.17390609669998308,80952,22226,0.2745577626247653
2025,전체 하위 30%,-0.1308751676746283,80952,26803,0.33109744045854334
