target_year,decline_threshold,eligible_rows,positive_rows,positive_rate
2022,0.05,83131,29124,0.35033862217464
2022,0.08,83131,26231,0.31553812657131514
2022,0.1,83131,24358,0.29300742202066615
2022,0.12,83131,22705,0.27312314299118257
2022,0.15,83131,20369,0.24502291563917192
2022,0.18,83131,18113,0.21788502484031227
2022,0.2,83131,16905,0.20335374288773142
2023,0.05,82910,32545,0.39253407309130384
2023,0.08,82910,28824,0.34765408274032084
2023,0.1,82910,26573,0.320504161138584
2023,0.12,82910,24470,0.2951393076830298
2023,0.15,82910,21511,0.2594500060306356
2023,0.18,82910,18941,0.2284525388975998
2023,0.2,82910,17469,0.21069834760583767
2024,0.05,82176,38045,0.46296972352024923
2024,0.08,82176,33502,0.40768594236760125
2024,0.1,82176,30686,0.3734180295950156
2024,0.12,82176,28025,0.34103631230529596
2024,0.15,82176,24509,0.2982500973520249
2024,0.18,82176,21528,0.2619742990654206
2024,0.2,82176,19751,0.24034998052959503
