feature,origin,dtype,kind,rows,nonmissing_count,missing_count,missing_rate,unique_count,zero_count,zero_rate,top_frequency,top_rate,constant,near_constant_99_5pct,rare_category_count_lt_100,target_rate_when_missing,target_rate_when_observed,missing_target_lift,min,p01,p25,median,mean,p75,p99,max
기준_연도,original,int64,numeric,122011,122011,0,0.0,3,0.0,0.0,81331,0.6665874388374818,False,False,,,0.2187671603380023,,2021.0,2021.0,2022.0,2022.0,2021.9988197785447,2022.0,2023.0,2023.0
기준_분기,original,int64,numeric,122011,122011,0,0.0,4,0.0,0.0,40733,0.3338469482259796,False,False,,,0.2187671603380023,,1.0,1.0,1.0,3.0,2.5015777265984216,4.0,4.0,4.0
기준_년분기_코드,original,str,categorical,122011,122011,0,0.0,6,,,20412,0.16729639130898033,False,False,0.0,,0.2187671603380023,,,,,,,,,
상권_구분_코드,original,str,categorical,122011,122011,0,0.0,4,,,60438,0.49534878002803023,False,False,0.0,,0.2187671603380023,,,,,,,,,
상권_구분_코드_명,original,str,categorical,122011,122011,0,0.0,4,,,60438,0.49534878002803023,False,False,0.0,,0.2187671603380023,,,,,,,,,
상권_코드,original,str,categorical,122011,122011,0,0.0,1571,,,316,0.002589930416110023,False,False,1096.0,,0.2187671603380023,,,,,,,,,
상권_코드_명,original,str,categorical,122011,122011,0,0.0,1571,,,316,0.002589930416110023,False,False,1096.0,,0.2187671603380023,,,,,,,,,
서비스_업종_코드,original,str,categorical,122011,122011,0,0.0,62,,,8356,0.06848562834498528,False,False,1.0,,0.2187671603380023,,,,,,,,,
서비스_업종_코드_명,original,str,categorical,122011,122011,0,0.0,62,,,8356,0.06848562834498528,False,False,1.0,,0.2187671603380023,,,,,,,,,
당월_매출_금액,original,float64,numeric,122011,122011,0,0.0,119697,0.0,0.0,88,0.0007212464449926646,False,False,,,0.2187671603380023,,686.0,1980090.0000000002,56014556.5,197237223.0,1078069672.364926,666224077.5,12366537983.699976,1234546404527.0
당월_매출_건수,original,float64,numeric,122011,122011,0,0.0,46969,0.0,0.0,91,0.0007458343919810509,False,False,,,0.2187671603380023,,1.0,30.0,1072.0,5175.0,36773.386047159685,25444.0,444083.49999999895,15232198.0
주중_매출_금액,original,float64,numeric,122011,122011,0,0.0,121360,174.0,0.001426100925326405,174,0.001426100925326405,False,False,,,0.2187671603380023,,0.0,1229446.2,41523507.5,146951719.0,815926839.5066265,506345581.5,9706404638.499943,814168473798.0
주말_매출_금액,original,float64,numeric,122011,122011,0,0.0,113829,7609.0,0.0623632295448771,7609,0.0623632295448771,False,False,,,0.2187671603380023,,0.0,0.0,9128027.0,41075442.0,262142832.85829967,147414547.0,2838112979.3999963,589625332861.0
월요일_매출_금액,original,float64,numeric,122011,122011,0,0.0,116639,4764.0,0.039045659817557435,4764,0.039045659817557435,False,False,,,0.2187671603380023,,0.0,0.0,6475954.5,25836287.0,152852111.75116178,93368556.0,1807985643.299993,161435280033.0
화요일_매출_금액,original,float64,numeric,122011,122011,0,0.0,117076,4348.0,0.0356361311685012,4348,0.0356361311685012,False,False,,,0.2187671603380023,,0.0,0.0,6856531.0,27340376.0,159780708.2225537,97373339.5,1938241261.199986,169080812109.0
수요일_매출_금액,original,float64,numeric,122011,122011,0,0.0,117219,4209.0,0.03449688962470597,4209,0.03449688962470597,False,False,,,0.2187671603380023,,0.0,0.0,7189932.5,27645925.0,158608670.98538655,97269889.5,1892196363.8999999,147855577728.0
목요일_매출_금액,original,float64,numeric,122011,122011,0,0.0,117462,3964.0,0.03248887395398776,3964,0.03248887395398776,False,False,,,0.2187671603380023,,0.0,0.0,7297926.5,27964213.0,162141505.81366435,98883131.0,1930878051.7999983,151653559001.0
금요일_매출_금액,original,float64,numeric,122011,122011,0,0.0,117693,3744.0,0.030685757841506095,3744,0.030685757841506095,False,False,,,0.2187671603380023,,0.0,0.0,8121198.0,31364820.0,182543842.73386008,111578529.0,2180543608.2999945,184143244927.0
토요일_매출_금액,original,float64,numeric,122011,122011,0,0.0,112582,8807.0,0.0721820163755727,8807,0.0721820163755727,False,False,,,0.2187671603380023,,0.0,0.0,5994840.0,26478784.0,163445471.40377507,94338251.0,1759640267.0,363584492504.0
일요일_매출_금액,original,float64,numeric,122011,122011,0,0.0,91556,29856.0,0.2446992484284204,29856,0.2446992484284204,False,False,,,0.2187671603380023,,0.0,0.0,102588.0,9666425.0,98697361.45452459,48315413.0,1132578607.6999998,226040840357.0
시간대_00~06_매출_금액,original,float64,numeric,122011,122011,0,0.0,42274,79374.0,0.6505479014187245,79374,0.6505479014187245,False,False,,,0.2187671603380023,,0.0,0.0,0.0,0.0,31965770.238175247,2351568.5,423412818.0,144648926482.0
시간대_06~11_매출_금액,original,float64,numeric,122011,122011,0,0.0,94927,26263.0,0.21525108391866307,26263,0.21525108391866307,False,False,,,0.2187671603380023,,0.0,0.0,251153.0,6392138.0,117381633.13747941,45889254.5,1399043085.8999977,147081590540.0
시간대_11~14_매출_금액,original,float64,numeric,122011,122011,0,0.0,112674,8777.0,0.07193613690568883,8777,0.07193613690568883,False,False,,,0.2187671603380023,,0.0,0.0,6760095.5,37083042.0,277527319.2825155,152664620.5,3334384336.399999,268402678863.0
시간대_14~17_매출_금액,original,float64,numeric,122011,122011,0,0.0,117657,3844.0,0.031505356074452304,3844,0.031505356074452304,False,False,,,0.2187671603380023,,0.0,0.0,9350376.0,38204831.0,273669846.5075854,142037787.5,3082955671.7999916,396053871014.0
시간대_17~21_매출_금액,original,float64,numeric,122011,122011,0,0.0,118487,3037.0,0.02489119833457639,3037,0.02489119833457639,False,False,,,0.2187671603380023,,0.0,0.0,14527235.0,55183142.0,293645132.8251551,187456049.5,3385464740.7,477326883796.0
시간대_21~24_매출_금액,original,float64,numeric,122011,122011,0,0.0,83023,38316.0,0.31403725893566975,38316,0.31403725893566975,False,False,,,0.2187671603380023,,0.0,0.0,0.0,4191551.0,83879970.37401545,39832192.0,1360858645.499981,38145424401.0
