feature,complete_count,target0_count,target1_count,target0_mean,target1_mean,target0_median,target1_median,target0_p25,target1_p25,target0_p75,target1_p75,point_biserial,standardized_effect_cohens_d,mann_whitney_pvalue,univariate_roc_auc_raw_direction,univariate_roc_auc_direction_free,univariate_auprc_high_direction,univariate_auprc_low_direction,univariate_auprc_best_direction,best_direction,quantile_bin_count_target_rate,quantile_target_rate_spearman,missing_count,missing_target_rate,missing_target_lift,early_effect_d,late_effect_d,early_auc_direction_free,late_auc_direction_free,effect_direction_stable,mann_whitney_fdr_bh
기준_연도,122011,95319,26692,2021.9871693995951,2022.0404240971077,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,0.03812845089154595,0.09229543155901956,1.989701811601518e-40,0.5221768911090188,0.5221768911090188,0.2292922521224247,0.21157602339667103,0.2292922521224247,higher,1:101743.0:0.209312;2:20268.0:0.266232,0.9999999999999999,0,,,0.026190693239532114,0.19203194706837423,0.5061767250178848,0.5450982314413004,True,5.814565488272397e-40
기준_분기,122011,95319,26692,2.5268729214532253,2.411246815525251,3.0,2.0,1.0,1.0,4.0,4.0,-0.03798915354767327,-0.09195775396420575,4.095855566541259e-38,0.47529573186434715,0.5247042681356529,0.21026753763582418,0.23007180994685505,0.23007180994685505,lower,1:60942.0:0.236011;2:20336.0:0.193942;3:40733.0:0.205362,-0.5,0,,,-0.009942562677222253,-0.17723060020438053,0.5000253487646452,0.5433901725310895,True,1.1207750232081082e-37
당월_매출_금액,122011,95319,26692,1165512394.7178211,765805591.2936085,220592326.0,134090002.5,62316366.5,38649156.5,741873801.5,440993657.25,-0.01593884439864725,-0.03855912176727734,0.0,0.42184578896578323,0.5781542110342168,0.1820745163424594,0.2662836103462504,0.2662836103462504,lower,1:12202.0:0.301508;2:12201.0:0.264241;3:12201.0:0.243669;4:12201.0:0.240800;5:12201.0:0.229981;6:12201.0:0.216622;7:12201.0:0.208507;8:12201.0:0.190804;9:12201.0:0.162036;10:12201.0:0.129498,-0.9999999999999999,0,,,-0.03290093140853191,-0.04417100705965775,0.5771332649777692,0.5792558357778567,True,0.0
당월_매출_건수,122011,95319,26692,40921.4955675154,21960.196650681853,5872.0,3335.0,1223.0,687.0,29024.0,14919.5,-0.04933370725493894,-0.11947802169663019,2.393637905038523e-303,0.4255779567086023,0.5744220432913977,0.1826534491862425,0.2621540881164679,0.2621540881164679,lower,1:12209.0:0.296830;2:12199.0:0.264038;3:12200.0:0.242213;4:12198.0:0.232661;5:12203.0:0.233795;6:12198.0:0.225857;7:12201.0:0.203180;8:12201.0:0.183755;9:12201.0:0.171871;10:12201.0:0.133432,-0.9878787878787878,0,,,-0.11653933467966368,-0.12238982761551552,0.5762519211198545,0.5726135454288845,True,2.4844310669537774e-302
주중_매출_금액,122011,95319,26692,875118709.0484269,604548530.9177282,164646008.0,100440629.0,46092116.0,28744636.75,564738274.0,331984574.25,-0.01624932447933419,-0.039310429114819884,0.0,0.42248197526012826,0.5775180247398717,0.1823195997465058,0.26531375274429475,0.26531375274429475,lower,1:12202.0:0.302573;2:12201.0:0.262601;3:12201.0:0.239980;4:12201.0:0.245062;5:12201.0:0.229981;6:12201.0:0.219736;7:12201.0:0.199820;8:12201.0:0.194164;9:12201.0:0.165970;10:12201.0:0.127776,-0.9878787878787878,0,,,-0.03216783692166617,-0.04655092617554315,0.5767739587449847,0.5783670096261846,True,0.0
주말_매출_금액,122011,95319,26692,290393685.6693944,161257060.37588042,46289474.0,26951943.0,10514762.5,5586169.25,164075647.0,97205099.0,-0.013170741341406056,-0.03186126556870854,0.0,0.4243507087286371,0.5756492912713629,0.18314162817053645,0.26140759871303787,0.26140759871303787,lower,1:12202.0:0.292083;2:12201.0:0.270552;3:12201.0:0.248586;4:12201.0:0.235227;5:12201.0:0.232768;6:12201.0:0.213179;7:12201.0:0.204901;8:12201.0:0.188263;9:12201.0:0.172445;10:12201.0:0.129662,-0.9999999999999999,0,,,-0.029214782985784025,-0.03443761674204888,0.5747291712438329,0.5765766237007062,True,0.0
월요일_매출_금액,122011,95319,26692,163166153.8991387,116019945.42780608,29038066.0,17319525.0,7345177.5,4207822.0,104100046.5,60811325.5,-0.015120894418767173,-0.03657987910142694,0.0,0.4241236776106038,0.5758763223893961,0.18314865275839617,0.2622809372141363,0.2622809372141363,lower,1:12202.0:0.295279;2:12201.0:0.266863;3:12201.0:0.244898;4:12201.0:0.237112;5:12201.0:0.232276;6:12201.0:0.220884;7:12201.0:0.203180;8:12201.0:0.191706;9:12201.0:0.164823;10:12201.0:0.130645,-0.9999999999999999,0,,,-0.029056512065505732,-0.04462031466883095,0.5752344995120025,0.5765350328059524,True,0.0
화요일_매출_금액,122011,95319,26692,171407552.80736265,118260432.5227409,30876066.0,18188561.5,7771099.5,4465149.0,108851099.5,62708294.0,-0.016665824727908164,-0.04031830457868882,0.0,0.4210959507267077,0.5789040492732923,0.18205014213219362,0.26474409652592934,0.26474409652592934,lower,1:12202.0:0.300033;2:12201.0:0.266781;3:12201.0:0.246209;4:12201.0:0.239325;5:12201.0:0.232686;6:12201.0:0.223752;7:12201.0:0.196131;8:12201.0:0.189165;9:12201.0:0.164823;10:12201.0:0.128760,-0.9999999999999999,0,,,-0.031588641670475995,-0.04957060539860036,0.579056913573681,0.5788790107539337,True,0.0
수요일_매출_금액,122011,95319,26692,169570312.05517262,119463883.59100105,31198361.0,18437915.0,8140875.0,4693939.0,108493502.0,62808638.5,-0.015561486886636309,-0.03764599776321984,0.0,0.4214626260766243,0.5785373739233757,0.18209841017085698,0.26439135394582014,0.26439135394582014,lower,1:12202.0:0.298967;2:12201.0:0.266863;3:12201.0:0.247029;4:12201.0:0.237440;5:12201.0:0.231293;6:12201.0:0.217441;7:12201.0:0.206377;8:12201.0:0.190230;9:12201.0:0.163675;10:12201.0:0.128350,-0.9999999999999999,0,,,-0.03110863929365152,-0.0443534977452684,0.5781210857599833,0.5790627149368324,True,0.0
목요일_매출_금액,122011,95319,26692,173934328.85870603,120028509.41660422,31494705.0,18709762.0,8229789.0,4804530.25,110639735.0,63274139.5,-0.016071428539090396,-0.038879950758819184,0.0,0.42195140732031755,0.5780485926796824,0.18212082365626697,0.2631362392955686,0.2631362392955686,lower,1:12202.0:0.298476;2:12201.0:0.263913;3:12201.0:0.246291;4:12201.0:0.240308;5:12201.0:0.232850;6:12201.0:0.223178;7:12201.0:0.201623;8:12201.0:0.186952;9:12201.0:0.163593;10:12201.0:0.130481,-0.9999999999999999,0,,,-0.03388631774834981,-0.04360758787139131,0.5777200635525652,0.5785001509273618,True,0.0
