average_precision,roc_auc,log_loss,brier_score,threshold,precision,recall,f1,f2,mcc,balanced_accuracy,accuracy,predicted_positive_rate,tn,fp,fn,tp,status,run_id,model,feature_set_id,raw_group,feature_count,fold,train_rows,validation_rows,train_positive_rate,validation_positive_rate,fit_seconds,predict_seconds,convergence_warnings
0.27979274611398963,0.5,0.6030205116564192,0.20523288745528454,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.7202072538860104,0.0,14595,0,5670,0,completed,dummy_prior__prior,dummy_prior,prior,,0,1,122011,20265,0.2187671603380023,0.27979274611398963,0.00024359999224543571,0.0,0
0.28586273442525606,0.5,0.6079043771444721,0.20766344254695873,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.7141372655747439,0.0,14432,0,5777,0,completed,dummy_prior__prior,dummy_prior,prior,,0,2,142292,20209,0.22654822477721867,0.28586273442525606,0.0003127999952994287,0.0,0
0.3177848352520842,0.5,0.6438046212029894,0.2239546139421234,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.6822151647479159,0.0,13748,0,6404,0,completed,dummy_prior__prior,dummy_prior,prior,,0,3,162557,20152,0.23318589786967034,0.3177848352520842,0.0003577999887056649,0.0,0
0.31323859386686614,0.5,0.6359011015769899,0.22062998144728965,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.6867614061331339,0.0,13773,0,6282,0,completed,dummy_prior__prior,dummy_prior,prior,,0,4,182766,20055,0.2390105380650668,0.31323859386686614,0.0003387999895494431,0.0,0
0.3965125108936027,0.6522833856875195,0.5715399855782632,0.19331408052012464,0.5,0.39473684210526316,0.0026455026455026454,0.005255781359495445,0.003301346949555419,0.011098537634469005,0.5005348102470405,0.719812484579324,0.0018751542067604243,14572,23,5655,15,completed,logistic_l2__linear_common_plus_log1p,logistic_l2,linear_common_plus_log1p,,207,1,122011,20265,0.2187671603380023,0.27979274611398963,55.259946999984095,0.01585019999765791,1
0.40484823905846384,0.6575527734993151,0.5745251645115,0.19493427040962696,0.5,0.4647887323943662,0.005712307425999654,0.011285909712722298,0.0071185124466111565,0.023513909064630585,0.5015396348659932,0.71388985105646,0.0035132861596318473,14394,38,5744,33,completed,logistic_l2__linear_common_plus_log1p,logistic_l2,linear_common_plus_log1p,,207,2,142292,20209,0.22654822477721867,0.28586273442525606,67.75170439999783,0.012011499988147989,1
0.45877031643991817,0.6786746745242326,0.5882441464232452,0.2017140762598078,0.5,0.5292620865139949,0.03247970018738289,0.06120347212005296,0.03998615863739475,0.06405457921798331,0.5095115987116723,0.6833564906709012,0.019501786423183804,13563,185,6196,208,completed,logistic_l2__linear_common_plus_log1p,logistic_l2,linear_common_plus_log1p,,207,3,162557,20152,0.23318589786967034,0.3177848352520842,95.4056464000023,0.02385979998507537,1
0.47527059221240897,0.6776413800765044,0.5837274495241455,0.19922037585465918,0.5,0.6094069529652352,0.04743712193568927,0.08802244867818639,0.05816450013662802,0.10094887668849992,0.5167847048725858,0.6920967339815507,0.0243829468960359,13582,191,5984,298,completed,logistic_l2__linear_common_plus_log1p,logistic_l2,linear_common_plus_log1p,,207,4,182766,20055,0.2390105380650668,0.31323859386686614,107.13576720000128,0.013128099992172793,1
0.39288850724306756,0.6491380198939866,0.5736761517826267,0.19422470761314428,0.5,0.36363636363636365,0.0014109347442680777,0.0028109627547434997,0.001761959298740199,0.0061573939405262425,0.5002258510651796,0.7199111769059956,0.001085615593387614,14581,14,5662,8,completed,logistic_l1__linear_common_plus_log1p,logistic_l1,linear_common_plus_log1p,,207,1,122011,20265,0.2187671603380023,0.27979274611398963,200.07890100000077,0.004620199993951246,0
0.4014747217955951,0.6547395769964002,0.5771168220064142,0.19603381934209466,0.5,0.375,0.0020772027003635105,0.004131520055086934,0.0025929127052722557,0.007856631420257465,0.5003456966938625,0.7137414023454897,0.0015834529170171705,14412,20,5765,12,completed,logistic_l1__linear_common_plus_log1p,logistic_l1,linear_common_plus_log1p,,207,2,142292,20209,0.22654822477721867,0.28586273442525606,233.2688427999965,0.014173800009302795,0
