run_id,model,feature_set_id,raw_group,feature_count,completed_folds,mean_average_precision,std_average_precision,min_average_precision,mean_roc_auc,std_roc_auc,min_roc_auc,mean_log_loss,std_log_loss,min_log_loss,mean_brier_score,std_brier_score,min_brier_score,mean_precision,std_precision,min_precision,mean_recall,std_recall,min_recall,mean_f1,std_f1,min_f1,mean_f2,std_f2,min_f2,mean_mcc,std_mcc,min_mcc,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,mean_accuracy,std_accuracy,min_accuracy,mean_predicted_positive_rate,std_predicted_positive_rate,min_predicted_positive_rate,mean_fit_seconds,std_fit_seconds,min_fit_seconds,mean_predict_seconds,std_predict_seconds,min_predict_seconds,total_fit_seconds,total_predict_seconds,delta_vs_same_model_common__mean_average_precision,delta_vs_same_model_common__mean_roc_auc,delta_vs_same_model_common__min_average_precision,delta_vs_same_model_common__std_average_precision,delta_vs_same_model_common__std_roc_auc,delta_vs_same_model_common__mean_brier_score,delta_vs_same_model_common__mean_log_loss,delta_vs_same_model_common__total_fit_seconds,delta_vs_same_model_common__total_predict_seconds
dummy_prior__prior,dummy_prior,prior,,0,4,0.29916972741454906,0.016560485423105183,0.27979274611398963,0.5,0.0,0.5,0.6226576528952177,0.017506139373136304,0.6030205116564192,0.21437023134791405,0.008054764590781187,0.20523288745528454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.700830272585451,0.01656048542310516,0.6822151647479159,0.0,0.0,0.0,0.0003132499914499931,4.326901184477359e-05,0.00024359999224543571,0.0,0.0,0.0,0.0012529999657999724,0.0,,,,,,,,,
logistic_l2__linear_common_plus_log1p,logistic_l2,linear_common_plus_log1p,,207,4,0.4338504146510984,0.03380783141701394,0.3965125108936027,0.6665380534468929,0.011774041809052118,0.6522833856875195,0.5795091865092885,0.006753552885600907,0.5715399855782632,0.19729570076105463,0.0033412598414202716,0.19331408052012464,0.4995486534947148,0.07928666657450391,0.39473684210526316,0.022068658048643615,0.018686478600236416,0.0026455026455026454,0.04144190296761427,0.03456546752283256,0.005255781359495445,0.027142629542547335,0.02289478497342104,0.003301346949555419,0.049903975651395704,0.03538403290089303,0.011098537634469005,0.5070926871743229,0.006588407998549262,0.5005348102470405,0.702288890072059,0.015033083957349598,0.6833564906709012,0.012318293421402993,0.009794714706231288,0.0018751542067604243,81.38826624999638,20.785004434445533,55.259946999984095,0.016212399990763515,0.0046307230218748914,0.012011499988147989,325.5530649999855,0.06484959996305406,,,,,,,,,
logistic_l1__linear_common_plus_log1p,logistic_l1,linear_common_plus_log1p,,207,4,0.4284328421971808,0.031764149958605076,0.39288850724306756,0.661732969737056,0.010127049101758013,0.6491380198939866,0.5839607813972536,0.008759233633433974,0.5736761517826267,0.19921043666197713,0.004204583642769068,0.19422470761314428,0.4890480754185573,0.12854635977502174,0.36363636363636365,0.008296109293631055,0.006886698403666425,0.0014109347442680777,0.016227330191800983,0.013397826510777562,0.0028109627547434997,0.010312088406838227,0.008548545168225773,0.001761959298740199,0.031410722223869404,0.026725049411017096,0.0061573939405262425,0.5027829322786062,0.0027637987928371584,0.5002258510651796,0.7015291678495601,0.015640115475742563,0.6828106391425168,0.004473376844339871,0.0031787478081991365,0.001085615593387614,233.9574234249958,21.12649755016415,200.07890100000077,0.00944974999583792,0.004018740205294637,0.004620199993951246,935.8296936999832,0.03779899998335168,,,,,,,,,
logistic_elasticnet__linear_common_plus_log1p,logistic_elasticnet,linear_common_plus_log1p,,207,4,0.4284306451304809,0.031764214647399654,0.3928869502547088,0.6617322498341814,0.01012687779160979,0.6491377177925083,0.5839607839635464,0.008759472512785279,0.5736758259554743,0.1992104412826559,0.004204705110018717,0.19422456509594974,0.4890480754185573,0.12854635977502174,0.36363636363636365,0.008296109293631055,0.006886698403666425,0.0014109347442680777,0.016227330191800983,0.013397826510777562,0.0028109627547434997,0.010312088406838227,0.008548545168225773,0.001761959298740199,0.031410722223869404,0.026725049411017096,0.0061573939405262425,0.5027829322786062,0.0027637987928371584,0.5002258510651796,0.7015291678495601,0.015640115475742563,0.6828106391425168,0.004473376844339871,0.0031787478081991365,0.001085615593387614,240.86186612500023,36.70352973791589,208.40927000000374,0.009136125001532491,0.003719335012998052,0.006614199985051528,963.4474645000009,0.036544500006129965,,,,,,,,,
random_forest__common_baseline,random_forest,common_baseline,,197,4,0.5904533543850605,0.02853504171954021,0.5546411163165603,0.7796597823940836,0.0056750210396517425,0.7730344220466409,0.525594026482481,0.010680369659134409,0.5151621840234359,0.17664548352284276,0.004418681057113846,0.1723547146721469,0.8005909283534419,0.03127630633518743,0.7657657657657657,0.04433878286961247,0.02297842292344593,0.014991181657848324,0.08303221357422633,0.041575983862137414,0.029406677045493858,0.0544924211989188,0.027993786755443683,0.018647711816067745,0.13747040013860495,0.04234884848292598,0.08034263106576066,0.5199414959879444,0.01047376593854911,0.5066048748302945,0.7113747866170027,0.010431020182625721,0.698640333465661,0.016727725185644155,0.008911393554948606,0.005477424130273871,83.18946584999503,21.271693741279865,56.92036260000896,0.19767882500309497,0.01660546764463083,0.16996970001491718,332.7578633999801,0.7907153000123799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
extra_trees__common_baseline,extra_trees,common_baseline,,197,4,0.46014498530006825,0.03671441308948237,0.4175894075392153,0.6783797459403084,0.008152684776529834,0.6694586039407325,0.5924951616279788,0.014207999882900474,0.5770781331854719,0.2029556601119616,0.006516438682243505,0.19583763730114184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.700830272585451,0.01656048542310516,0.6822151647479159,0.0,0.0,0.0,24.056420400003844,5.6454050008019285,17.143747299996903,0.16742305000661872,0.011287135540663032,0.15649260001373477,96.22568160001538,0.6696922000264749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm__common_baseline,lightgbm,common_baseline,,197,4,0.6344290996143658,0.024453107115387646,0.602131113762477,0.8059240587401384,0.004541639627357005,0.8008204471947763,0.4791990659885269,0.009619895433670419,0.46873033101356215,0.15799220978694709,0.0037666965454440132,0.1541554412594052,0.6648310254774783,0.011602519563284027,0.6510238907849829,0.439423777756223,0.028016419269179436,0.40370370370370373,0.5288502010711099,0.023941974626990145,0.4983670803396473,0.47126514650235846,0.026938047171982497,0.43689876316994963,0.39647346970700603,0.015989515862679864,0.37890246039826847,0.6724184069827152,0.010490367149403634,0.6598169083780595,0.7665373247150641,0.007626551001972124,0.7539698292973402,0.1980103036067149,0.019257459701017728,0.17350111028867504,10.825429524993524,1.98136782127518,8.98119009999209,0.08768317499925615,0.02006219046857474,0.06727140001021326,43.301718099974096,0.3507326999970246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost__common_baseline,xgboost,common_baseline,,197,4,0.6326004602110599,0.02448480490942498,0.6003783701368135,0.8060805609749444,0.0040928276284722155,0.8015400589581245,0.4789580611043013,0.009946581176819477,0.4685270165626118,0.15796589281545895,0.003776581706434674,0.15427890845722256,0.6630258104805327,0.01440657766133091,0.6458333333333334,0.433704016385388,0.026103245665611837,0.40458553791887125,0.524206183370625,0.023489644982628774,0.4975059639991325,0.46585197555999086,0.025480836791384104,0.4372522110399512,0.39203856310627727,0.017503931995445303,0.3759166348804981,0.6698396811976068,0.01050015496293403,0.6591958179488155,0.7651633034401127,0.00816764195181066,0.7513398173878523,0.1958841599136279,0.01758166467142576,0.17527757216876388,12.97106110000459,1.6888456929726343,10.78525320001063,0.044995099982770626,0.0014879904445403078,0.043834099982632324,51.88424440001836,0.1799803999310825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost__common_baseline,catboost,common_baseline,,197,4,0.5884595742222147,0.016877139435164362,0.5634277567348204,0.781807609914744,0.004353440783583149,0.7758054570017975,0.5036191629288213,0.014844707680012188,0.48896965884964183,0.16739084121291192,0.005943907845475597,0.16130880924892502,0.6279824699853662,0.0061726512611287076,0.6201975850713501,0.3745960705763349,0.03793328124851894,0.3091710758377425,0.4679171998877321,0.030076177673918507,0.41614243323442135,0.40693019608480596,0.03614703431235416,0.344603892274425,0.3337472161633033,0.011842562556044102,0.31501864148568964,0.6394491696128775,0.011143781285826434,0.6202587136639894,0.7465373038533124,0.011007558049240848,0.7329793568876538,0.1793553299791931,0.026507965868930422,0.13594867999013077,57.647622174998105,7.735252237554938,48.79359640000621,0.0,0.0,0.0,230.59048869999242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_forest__tree_plus_sales_amount_raw_components,random_forest,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,4,0.5929714496556765,0.028482390203897177,0.5555071427063547,0.7787537606321104,0.005881084643370519,0.7720935572026127,0.5249076368492283,0.009931976756904722,0.5143226592232966,0.17630659298669885,0.004152703172154224,0.1719322230383298,0.8168467477234238,0.006342051764990152,0.8109756097560976,0.057254129559805314,0.027744514169211514,0.02345679012345679,0.10547893163068792,0.04853686661823793,0.04559478916695235,0.07005757704072504,0.03350175546441436,0.02911048853090527,0.1596291713225113,0.04016704800278607,0.10688337950138779,0.525802231936497,0.012357085927474087,0.5106663875249007,0.7144899426251176,0.009695154957086442,0.7017169511710997,0.021483464190214033,0.011218220152674277,0.008092770787071305,99.91879275000247,21.743385391004633,68.50212459999602,0.22311152500333264,0.009684250468309752,0.21042680001119152,399.67517100000987,0.8924461000133306,0.002518095270615972,-0.0009060217619731858,0.0008660263897943832,-5.2651515643032526e-05,0.0002060636037187766,-0.0003388905361439154,-0.0006863896332527375,66.91730760002974,0.1017308000009507
