importance_rank,source_feature,friendly_name,gain,normalized_gain
1,최근_4분기_매출_선형기울기,최근 4분기 매출 추세,850013.6691375412,0.3705830379785283
2,전년동기_매출_증감률,전년 동기 대비 매출 변화율,217768.95126547664,0.09494139031815976
3,현재값_대비_최근_4분기_매출_평균_차이,현재 매출과 최근 4분기 평균의 차이,177345.32997398078,0.07731778151255586
4,서비스_업종_코드,서비스 업종 코드,78230.35215425491,0.03410632395225972
5,최근_4분기_매출_변동계수,최근 4분기 매출 변동성,67068.27475692332,0.02923995920750021
6,최근_2분기_매출_변화액,최근 2분기 매출 변화액,35828.83045244217,0.015620403904510834
7,당월_매출_금액,현재 분기 매출,35132.79149913788,0.015316949690499645
8,당월_매출_건수,현재 분기 거래 건수,30921.945039629936,0.0134811341853103
9,평균_객단가,평균 객단가,28445.14894270897,0.012401317877201244
10,매출_감소_지속,전 분기·전년 동기 매출 동반 감소 여부,26059.41520035267,0.011361202300063128
11,최근_2분기_매출_최소,최근 2분기 매출 최소,25202.92369952798,0.010987795102152474
12,전분기_매출_증감률,전 분기 대비 매출 변화율,24482.345016539097,0.010673642227745724
13,현재값_대비_최근_2분기_매출_평균_차이,현재값 대비 최근 2분기 매출 평균 차이,23164.8725849092,0.010099259774976761
14,변화__서울_운영_영업_개월_평균,서울 평균 운영 영업개월,20983.20481622219,0.009148111459444146
15,최근_4분기_매출_표준편차,최근 4분기 매출 표준편차,19647.459324240685,0.00856576244511961
16,기준_분기,기준 분기,19546.41403412819,0.008521709423453141
17,최근_2분기_매출_변동계수,최근 2분기 매출 변동계수,18231.491341352463,0.00794843858806745
18,최근_2분기_매출_최대,최근 2분기 매출 최대,17463.570684432983,0.00761364588966716
19,기준_연도,기준 연도,16854.266757011414,0.007348005808013841
20,최근_2분기_매출_표준편차,최근 2분기 매출 표준편차,16763.290342092514,0.007308342544410975
21,최근_2분기_매출_평균,최근 2분기 매출 평균,16528.402225017548,0.007205937659441282
22,구성비__시간대_21~24_매출_금액,구성 비중: 시간대 21~24 매출 금액,12394.029536128044,0.005403462656023173
23,구성비__연령대_30_매출_금액,구성 비중: 연령대 30 매출 금액,11418.052337884903,0.004977962916131117
24,구성비__일요일_매출_금액,구성 비중: 일요일 매출 금액,11249.64098840952,0.004904540109199111
25,구성비__시간대_건수~17_매출_건수,14~17시 거래 비중,10854.733038544655,0.004732370892283714
26,매출_변화방향_일치,매출 변화방향 일치,10133.733275175095,0.00441803443818599
27,프랜차이즈_점포_비율,프랜차이즈 점포 비율,10031.681670427322,0.004373542690475172
28,구성비__시간대_14~17_매출_금액,구성 비중: 시간대 14~17 매출 금액,9356.387375593185,0.004079132588149266
29,구성비__시간대_건수~24_매출_건수,21~24시 거래 비중,9071.324560463428,0.003954852887856113
30,구성비__연령대_40_매출_금액,구성 비중: 연령대 40 매출 금액,9057.059402823448,0.003948633663804304
31,구성비__연령대_60_이상_매출_금액,구성 비중: 연령대 60 이상 매출 금액,8498.43614564836,0.0037050889877057987
32,구성비__시간대_건수~11_매출_건수,06~11시 거래 비중,8330.995991945267,0.003632089595940907
33,점포당_매출,점포당 매출,8206.854095056653,0.0035779670765512155
34,구성비__금요일_매출_금액,구성 비중: 금요일 매출 금액,7718.402080118656,0.0033650151698058585
35,점포당_거래건수,점포당 거래 건수,7712.2338589429855,0.0033623259917076724
36,구성비__시간대_17~21_매출_금액,구성 비중: 시간대 17~21 매출 금액,7698.832012891769,0.0033564831482282027
37,유사_업종_점포_수,유사 업종 점포 수,7453.559472799301,0.0032495509348528556
38,구성비__시간대_건수~21_매출_건수,17~21시 거래 비중,7238.959872722626,0.0031559912961871823
39,구성비__연령대_20_매출_금액,구성 비중: 연령대 20 매출 금액,7044.003622934222,0.0030709956285377518
40,구성비__화요일_매출_금액,구성 비중: 화요일 매출 금액,7022.496409893036,0.003061619063622812
41,구성비__연령대_50_매출_금액,구성 비중: 연령대 50 매출 금액,7005.685132235289,0.0030542897999028184
42,구성비__시간대_건수~14_매출_건수,11~14시 거래 비중,6999.752427995205,0.003051703300837516
43,구성비__남성_매출_건수,구성 비중: 남성 매출 건수,6993.128591656685,0.0030488154868146054
44,구성비__남성_매출_금액,구성 비중: 남성 매출 금액,6963.5929564237595,0.003035938746321304
45,구성비__수요일_매출_금액,구성 비중: 수요일 매출 금액,6877.370373129845,0.0029983480251134483
46,구성비__연령대_60_이상_매출_건수,구성 비중: 연령대 60 이상 매출 건수,6669.048792779446,0.002907525433753159
47,최근_4분기_매출_최소,최근 4분기 매출 최소,6550.813653230667,0.0028559781012799544
48,최근_4분기_매출_최대,최근 4분기 매출 최대,6521.641919136047,0.002843260011869869
49,구성비__목요일_매출_금액,구성 비중: 목요일 매출 금액,6267.1578810215,0.0027323118337573677
50,구성비__일요일_매출_건수,구성 비중: 일요일 매출 건수,5950.8903431892395,0.0025944277158433727
51,점포당_유동인구,점포당 유동인구,5700.0708837509155,0.0024850771952133967
52,변화__서울_폐업_영업_개월_평균,서울 평균 폐업 영업개월,5487.692160129547,0.002392485798793307
53,점포_수,현재 점포 수,5405.856039524078,0.0023568074570307295
